row_label_raw,row_label_full,Năm trước > Số dư đầu năm,Vốn cổ phần đã phát hành > Năm trước > 12.010.580.000.000,Thặng dư vốn cổ phần > Năm trước > 71.256.000.000,Lỗ lũy kế > Năm trước > (337.090.298.981),Đơn vị tính: VND Tổng cộng > Năm trước > 11.744.745.701.019,numeric__Vốn cổ phần đã phát hành > Năm trước > 12.010.580.000.000,numeric__Thặng dư vốn cổ phần > Năm trước > 71.256.000.000,numeric__Lỗ lũy kế > Năm trước > (337.090.298.981),numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 11.744.745.701.019
- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,- Cổ phần phát hành thêm,2.152.567.470.000,-,-,2.152.567.470.000,2152567470000.0,,,2152567470000.0
- Tăng do sáp nhập công ty con,- Tăng do sáp nhập công ty con,- Tăng do sáp nhập công ty con,9.098.000.000,26.941.697.689,-,36.039.697.689,9098000000.0,26941697689.0,,36039697689.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,(449.670.103.596),(449.670.103.596),,,-449670103596.0,-449670103596.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,325.637.408.648,325.637.408.648,,,325637408648.0,325637408648.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,14.172.245.470.000,98.197.697.689,(461.122.993.929),13.809.320.173.760,14172245470000.0,98197697689.0,-461122993929.0,13809320173760.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,14.172.245.470.000,98.197.697.689,(461.122.993.929),13.809.320.173.760,14172245470000.0,98197697689.0,-461122993929.0,13809320173760.0
- Cổ phần phát hành thêm,Năm nay > - Cổ phần phát hành thêm,- Cổ phần phát hành thêm,6.919.479.480.000,1.690.294.564.980,-,8.609.774.044.980,6919479480000.0,1690294564980.0,,8609774044980.0
- Chia cổ tức,Năm nay > - Chia cổ tức,- Chia cổ tức,-,-,(1.079.197.079.133),(1.079.197.079.133),,,-1079197079133.0,-1079197079133.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,837.803.867.367,837.803.867.367,,,837803867367.0,837803867367.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,21.091.724.950.000,1.788.492.262.669,(702.516.205.695),22.177.701.006.974,21091724950000.0,1788492262669.0,-702516205695.0,22177701006974.0
