row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm(Phân loại lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Phân loại lại)
300,300,300,C. NỘ PHẢI TRẢ,,5.091.647.363.656,16.063.084.380.184,,,5091647363656.0,16063084380184.0
310,310,310,I. Nợ ngắn hạn,,736.153.108.083,3.857.730.387.341,,,736153108083.0,3857730387341.0
311,311,311,1. Phải trả người bán ngắn hạn,16.1,170.738.721.444,938.032.766.184,,161.0,170738721444.0,938032766184.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,16.2,137.014.653.461,1.214.609.440.612,,162.0,137014653461.0,1214609440612.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,17,35.068.093.552,404.371.798.147,,17.0,35068093552.0,404371798147.0
314,314,314,4. Phải trả người lao động,,7.032.143.912,94.765.520,,,7032143912.0,94765520.0
315,315,315,5. Chi phí phải trả ngắn hạn,18,124.565.620.575,793.404.067.832,,18.0,124565620575.0,793404067832.0
319,319,319,6. Phải trả ngắn hạn khác,19,259.195.423.896,462.217.549.046,,19.0,259195423896.0,462217549046.0
320,320,320,7. Vay ngắn hạn,20.1,-,45.000.000.000,,201.0,,45000000000.0
321,321,321,8. Dự phòng phải trả ngắn hạn,,2.538.451.243,-,,,2538451243.0,
330,330,330,II. Nợ dài hạn,,4.355.494.255.573,12.205.353.992.843,,,4355494255573.0,12205353992843.0
337,337,337,1. Phải trả dài hạn khác,19,43.698.855.575,59.770.659.510,,19.0,43698855575.0,59770659510.0
338,338,338,2. Vay và nợ dài hạn,20.2,4.311.795.399.998,12.145.583.333.333,,202.0,4311795399998.0,12145583333333.0
400,400,400,D. VỐN CHỦ SỞ HỮU,,22.177.701.006.974,13.809.320.173.760,,,22177701006974.0,13809320173760.0
410,410,410,I. Vốn chủ sở hữu,21,22.177.701.006.974,13.809.320.173.760,,21.0,22177701006974.0,13809320173760.0
411,411,411,1. Vốn cổ phần đã phát hành,,21.091.724.950.000,14.172.245.470.000,,,21091724950000.0,14172245470000.0
411a,411a,411a,- Cổ phần phổ thông có quyền biểu quyết,,15.166.399.400.000,8.246.919.920.000,,,15166399400000.0,8246919920000.0
411b,411b,411b,- Cổ phần ưu đãi,,5.925.325.550.000,5.925.325.550.000,,,5925325550000.0,5925325550000.0
412,412,412,2. Thắng dư vốn cổ phần,,1.788.492.262.669,98.197.697.689,,,1788492262669.0,98197697689.0
421,421,421,3. Lỗ lũy kế,,(702.516.205.695),(461.122.993.929),,,-702516205695.0,-461122993929.0
421a,421a,421a,- Lỗ sau thuế lũy kế đến cuối năm trước,,(736.618.573.062),(337.090.298.981),,,-736618573062.0,-337090298981.0
421b,421b,421b,- Lợi nhuận/(lỗ) sau thuế năm nay,,34.102.367.367,(124.032.694.948),,,34102367367.0,-124032694948.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,27.269.348.370.630,29.872.404.553.944,,,27269348370630.0,29872404553944.0
