row_label_raw,row_label_full,Mãsố,CHỈ TIÊU,CHỈ TIÊU_1,Ngày 31 tháng 12năm 2015(Đã được trình bàytrước đây),Phân loại lại,Ngày 31 tháng 12năm 2015(Được phân loại lại),numeric__CHỈ TIÊU,numeric__CHỈ TIÊU_1,numeric__Ngày 31 tháng 12năm 2015(Đã được trình bàytrước đây),numeric__Phân loại lại,numeric__Ngày 31 tháng 12năm 2015(Được phân loại lại)
Mãsố,Mãsố,Mãsố,BẢNG CẦN ĐỒI KẾTOÁN RIÊNG,BẢNG CẦN ĐỒI KẾTOÁN RIÊNG,,,,,,,,
131,Mãsố > 131,131,Phải thu ngắn hạn củakhách hàng,(1),213.696.398.580,22.517.893.320,236.214.291.900,,-1.0,213696398580.0,22517893320.0,236214291900.0
136,Mãsố > 136,136,Phải thu ngắn hạn khác,(1),1.087.889.373.961,(22.517.893.320),1.065.371.480.641,,-1.0,1087889373961.0,-22517893320.0,1065371480641.0
311,Mãsố > 311,311,Phải trả người bán ngắn hạn,(2),142.131.626.184,795.901.140.000,938.032.766.184,,-2.0,142131626184.0,795901140000.0,938032766184.0
319,Mãsố > 319,319,Phải trả ngắn hạn khác,(2),1.258.118.689.046,(795.901.140.000),462.217.549.046,,-2.0,1258118689046.0,-795901140000.0,462217549046.0
