row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,872.054.437.749,414.539.839.097,872054437749.0,414539839097.0
Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (năm 2015: 22%),Thuế TNDN theo thuế suất 20% áp dụng cho Công ty (năm 2015: 22%),174.410.887.550,91.198.764.601,174410887550.0,91198764601.0
Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,Các khoản điều chỉnh tăng:,,,,
Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Các khoản điều chỉnh tăng: > Điều chỉnh thuế TNDN trích thiếu trong những năm trước,Điều chỉnh thuế TNDN trích thiếu trong những năm trước,8.226.930.098,-,8226930098.0,
Chi phí dự phòng phải thu trích lập chưa được khấu trừ năm nay,Các khoản điều chỉnh tăng: > Chi phí dự phòng phải thu trích lập chưa được khấu trừ năm nay,Chi phí dự phòng phải thu trích lập chưa được khấu trừ năm nay,4.400.000.000,-,4400000000.0,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,161.551.213,8.271.608,161551213.0,8271608.0
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,,,,
Cổ tức được chia,Các khoản điều chỉnh giảm: > Cổ tức được chia,Cổ tức được chia,(61.989.064.612),-,-61989064612.0,
Lỗ năm trước chuyển sang,Các khoản điều chỉnh giảm: > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(90.959.733.867),(2.304.605.760),-90959733867.0,-2304605760.0
Chi phí thuế TNDN,Các khoản điều chỉnh giảm: > Chi phí thuế TNDN,Chi phí thuế TNDN,34.250.570.382,88.902.430.449,34250570382.0,88902430449.0
