row_label_raw,row_label_full,Bên liên quan > Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty Vincom Retail Miền Nam,Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty con,Nội dung > Phải trả ngắn hạn khác (Thuyết minh số 19) > Phải trả quản lýdòng tiền tập trung,Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19) > 108.093.351.115,Đơn vị tính: VND > Phải trả ngắn hạn khác (Thuyết minh số 19) > 27.091.006.073,numeric__Mối quan hệ > Phải trả ngắn hạn khác (Thuyết minh số 19) > Công ty con,numeric__Nội dung > Phải trả ngắn hạn khác (Thuyết minh số 19) > Phải trả quản lýdòng tiền tập trung,numeric__Số cuối năm > Phải trả ngắn hạn khác (Thuyết minh số 19) > 108.093.351.115,numeric__Đơn vị tính: VND > Phải trả ngắn hạn khác (Thuyết minh số 19) > 27.091.006.073
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,Phải trả quản lýdòng tiền tập trung,12.757.130.504,34.437.144.429,,,12757130504.0,34437144429.0
Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty Vincom Retail Miền Bắc,Công ty con,Phải trả khác,467.926.025,-,,,467926025.0,
Công ty Metropolis,Công ty Metropolis,Công ty Metropolis,Công ty con(trước thời điểm chuyển nhượng),Phải trả quản lýdòng tiền tập trung,-,10.410.129.877,,,,10410129877.0
Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty Riverview Đà Nẵng,Công ty con(trước thời điểm sáp nhập),Phải trả quản lýdòng tiền tập trung,-,25.495.090.888,,,,25495090888.0
Công ty Vin Tây,Công ty Vin Tây,Công ty Vin Tây,Công ty con(trước thời điểm sáp nhập),Phải trả quản lýdòng tiền tập trung,-,5.297.288.921,,,,5297288921.0
,,,,,121.318.407.644,102.730.660.188,,,121318407644.0,102730660188.0
