row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính:VND Số đầu năm (Phân loại lại),numeric__Số cuối năm,numeric__Đơn vị tính:VND Số đầu năm (Phân loại lại)
Phải trả cho người bán,Phải trả cho người bán,Phải trả cho người bán,25.307.030.214,834.556.317.751,25307030214.0,834556317751.0
Phải trả tiền mua cổ phần trong công ty con từ một đối tác cá nhân,Phải trả tiền mua cổ phần trong công ty con từ một đối tác cá nhân,Phải trả tiền mua cổ phần trong công ty con từ một đối tác cá nhân,4.599.639.475,795.901.140.000,4599639475.0,795901140000.0
Phải trả đối tượng khác,Phải trả đối tượng khác,Phải trả đối tượng khác,20.707.390.739,38.655.177.751,20707390739.0,38655177751.0
Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),145.431.691.230,103.476.448.433,145431691230.0,103476448433.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,170.738.721.444,938.032.766.184,170738721444.0,938032766184.0
