row_label_raw,row_label_full,Tài sān tài chính,Giá trị ghi số > 31/12/2015VND,Giá trị ghi số > 01/01/2015VND,numeric__Giá trị ghi số > 31/12/2015VND,numeric__Giá trị ghi số > 01/01/2015VND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,576.880.129.477,360.060.918.592,576880129477.0,360060918592.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.140.952.967.498,1.304.468.944.718,1140952967498.0,1304468944718.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,10.130.000.000,362.000.000,10130000000.0,362000000.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,45.249.232.122,76.362.165.051,45249232122.0,76362165051.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,6.130.000.000,85.212.349.400,6130000000.0,85212349400.0
Tổng,Tổng,Tổng,1.779.342.329.097,1.826.466.377.761,1779342329097.0,1826466377761.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,3.709.075.372.756,2.531.363.542.066,3709075372756.0,2531363542066.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.287.122.776.643,1.265.219.825.826,1287122776643.0,1265219825826.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,97.852.658.543,42.344.787.581,97852658543.0,42344787581.0
Tổng,Công nợ tài chính > Tổng,Tổng,5.094.050.807.942,3.838.928.155.473,5094050807942.0,3838928155473.0
