row_label_raw,row_label_full,31/12/2015,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,numeric__Dưới 1 nămVND,numeric__Từ 1-5 nămVND,numeric__TổngVND
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,576.880.129.477,-,576.880.129.477,576880129477.0,,576880129477.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,890.310.843.026,250.642.124.472,1.140.952.967.498,890310843026.0,250642124472.0,1140952967498.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,10.130.000.000,-,10.130.000.000,10130000000.0,,10130000000.0
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,45.249.232.122,-,45.249.232.122,45249232122.0,,45249232122.0
Đầu tư dài hạn,Đầu tư dài hạn,Đầu tư dài hạn,-,6.130.000.000,6.130.000.000,,6130000000.0,6130000000.0
01/01/2015,01/01/2015,01/01/2015,Dưới 1 nămVND,Từ 1-5 nămVND,TổngVND,,,
Tiền và các khoản tương đương tiền,01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,360.060.918.592,-,360.060.918.592,360060918592.0,,360060918592.0
Phải thu khách hàng và phải thu khác,01/01/2015 > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.304.468.944.718,-,1.304.468.944.718,1304468944718.0,,1304468944718.0
Các khoản cho vay,01/01/2015 > Các khoản cho vay,Các khoản cho vay,362.000.000,-,362.000.000,362000000.0,,362000000.0
Đầu tư ngắn hạn,01/01/2015 > Đầu tư ngắn hạn,Đầu tư ngắn hạn,76.362.165.051,-,76.362.165.051,76362165051.0,,76362165051.0
Đầu tư dài hạn,01/01/2015 > Đầu tư dài hạn,Đầu tư dài hạn,-,85.212.349.400,85.212.349.400,,85212349400.0,85212349400.0
