row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiện vậntải, truyền dẫn","Thiết bị,dụng cụ quản lý",TSCĐhữu hình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiện vậntải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhữu hình khác,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư tại 01/01/2015,NGUYÊN GIÁ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,26.285.074.127,4.786.852.456,21.790.463.938,8.381.384.459,749.868.705.758,811.112.480.738,26285074127.0,4786852456.0,21790463938.0,8381384459.0,749868705758.0,811112480738.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,3.547.737.271,9.564.765.182,-,1.839.356.476.157,1.852.468.978.610,,3547737271.0,9564765182.0,,1839356476157.0,1852468978610.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,3.547.737.271,9.564.765.182,-,145.454.546,13.257.956.999,,3547737271.0,9564765182.0,,145454546.0,13257956999.0
Tăng do XDCB hoàn thành,NGUYÊN GIÁ > Tăng do XDCB hoàn thành,Tăng do XDCB hoàn thành,-,-,-,-,1.839.211.021.611,1.839.211.021.611,,,,,1839211021611.0,1839211021611.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,1.276.078.476,41.000.000,,1.317.078.476,,,1276078476.0,41000000.0,,1317078476.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.276.078.476,41.000.000,-,1.317.078.476,,,1276078476.0,41000000.0,,1317078476.0
Số dư tại 31/12/2015,NGUYÊN GIÁ > Số dư tại 31/12/2015,Số dư tại 31/12/2015,26.285.074.127,8.334.589.727,30.079.150.644,8.340.384.459,2.589.225.181.915,2.662.264.380.872,26285074127.0,8334589727.0,30079150644.0,8340384459.0,2589225181915.0,2662264380872.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư tại 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2015,Số dư tại 01/01/2015,9.715.483.956,1.991.100.080,6.967.854.911,4.353.869.197,102.804.640.068,125.832.948.212,9715483956.0,1991100080.0,6967854911.0,4353869197.0,102804640068.0,125832948212.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,2.493.438.394,982.726.536,3.091.383.209,508.005.404,90.466.987.935,97.542.541.478,2493438394.0,982726536.0,3091383209.0,508005404.0,90466987935.0,97542541478.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,2.493.438.394,982.726.536,3.091.383.209,508.005.404,90.466.987.935,97.542.541.478,2493438394.0,982726536.0,3091383209.0,508005404.0,90466987935.0,97542541478.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,432.529.071,-,1.180.485.608,15.232.639,-,1.628.247.318,432529071.0,,1180485608.0,15232639.0,,1628247318.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,,1.180.485.608,15.232.639,-,1.195.718.247,,,1180485608.0,15232639.0,,1195718247.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,432.529.071,,,,,432.529.071,432529071.0,,,,,432529071.0
Số dư tại 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2015,Số dư tại 31/12/2015,11.776.393.279,2.973.826.616,8.878.752.512,4.846.641.962,193.271.628.003,221.747.242.372,11776393279.0,2973826616.0,8878752512.0,4846641962.0,193271628003.0,221747242372.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại 01/01/2015,Tại 01/01/2015,16.569.590.171,2.795.752.376,14.822.609.027,4.027.515.262,647.064.065.690,685.279.532.526,16569590171.0,2795752376.0,14822609027.0,4027515262.0,647064065690.0,685279532526.0
Tại 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại 31/12/2015,Tại 31/12/2015,14.508.680.848,5.360.763.111,21.200.398.132,3.493.742.497,2.395.953.553.912,2.440.517.138.500,14508680848.0,5360763111.0,21200398132.0,3493742497.0,2395953553912.0,2440517138500.0
