row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,MS,TM,Năm 2015VND,Năm 2014VND,numeric__CHỈ TIÊU_1,numeric__MS,numeric__TM,numeric__Năm 2015VND,numeric__Năm 2014VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,5.19,2.255.503.033.848,2.769.267.245.867,,1.0,519.0,2255503033848.0,2769267245867.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,5.20,10.002.763.104,6.867.422.389,,2.0,520.0,10002763104.0,6867422389.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01-02),10,,2.245.500.270.744,2.762.399.823.478,,10.0,,2245500270744.0,2762399823478.0
4.,4.,4.,Giá vốn hàng bán,11,5.21,1.921.992.032.569,2.339.242.788.505,,11.0,521.0,1921992032569.0,2339242788505.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10-11),20,,323.508.238.175,423.157.034.973,,20.0,,323508238175.0,423157034973.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,5.22,12.313.032.410,10.974.591.046,,21.0,522.0,12313032410.0,10974591046.0
7.,7.,7.,Chi phí tài chính,22,5.23,105.811.078.777,39.294.597.827,,22.0,523.0,105811078777.0,39294597827.0
7.,7.,7.,Trong đó: Chi phí lãi vay,23,,105.595.932.479,39.294.597.827,,23.0,,105595932479.0,39294597827.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,17.875.722.322,(541.717.414),,24.0,,17875722322.0,-541717414.0
9.,9.,9.,Chi phí bán hàng,25,,13.982.993.663,12.804.325.674,,25.0,,13982993663.0,12804325674.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,,37.901.377.088,42.696.471.247,,26.0,,37901377088.0,42696471247.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20+(21-22)-(25+26)},30,,196.001.543.379,338.794.513.857,,30.0,,196001543379.0,338794513857.0
12.,12.,12.,Thu nhập khác,31,5.24,3.182.794.096,2.366.096.621,,31.0,524.0,3182794096.0,2366096621.0
123,123,123,Chi phí khác,32,5.25,2.391.373.072,7.068.833.550,,32.0,525.0,2391373072.0,7068833550.0
14.,14.,14.,Lợi nhuận khác (40 = 31-32),40,,791.421.024,(4.702.736.929),,40.0,,791421024.0,-4702736929.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50 = 30+40+45),50,,196.792.964.403,334.091.776.928,,50.0,,196792964403.0,334091776928.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,5.26,35.847.938.201,75.489.307.232,,51.0,526.0,35847938201.0,75489307232.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,-,-,,52.0,,,
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50-51-52),60,,160.945.026.202,258.602.469.696,,60.0,,160945026202.0,258602469696.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,160.165.180.348,257.749.735.286,,61.0,,160165180348.0,257749735286.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,779.845.854,852.734.410,,62.0,,779845854.0,852734410.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,5.27,1.295,3.120,,70.0,527.0,1295.0,3120.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,,1.295,3.120,,71.0,,1295.0,3120.0
