row_label_raw,row_label_full,col_0,col_1,Năm 2015VND,Năm 2014VND,numeric__col_1,numeric__Năm 2015VND,numeric__Năm 2014VND
Hội đồng Quản trị và Ban điều hành,Hội đồng Quản trị và Ban điều hành,Hội đồng Quản trị và Ban điều hành,"Lương, thù lao",4.855.071.824,2.087.403.603,,4855071824.0,2087403603.0
Tổng,Tổng,Tổng,,4.855.071.824,2.087.403.603,,4855071824.0,2087403603.0
Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,Số dư với các bên liên quan,,,
,,,,31/12/2015VND,01/01/2015VND,,,
1. Các khoản phải thu,Số dư với các bên liên quan > 1. Các khoản phải thu,1. Các khoản phải thu,1. Các khoản phải thu,132.102.200.000,132.453.464.800,,132102200000.0,132453464800.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,
Công ty CP Bất động sản Thái An,Phải thu khách hàng > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,132.102.200.000,132.102.200.000,,132102200000.0,132102200000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Công ty CP Bất động sản Thái An,Phải thu khác > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,-,351.264.800,,,351264800.0
2. Các khoản phải trả,Phải thu khác > 2. Các khoản phải trả,2. Các khoản phải trả,2. Các khoản phải trả,617.968.605,617.968.605,,617968605.0,617968605.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
Công ty CP Bất động sản Thái An,Phải trả người bán > Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,617.968.605,617.968.605,,617968605.0,617968605.0
