row_label_raw,row_label_full,col_0,01/01/2015,Số phải nộp trong kỳ,Số đã thực nộp trong kỳ,31/12/2015,numeric__01/01/2015,numeric__Số phải nộp trong kỳ,numeric__Số đã thực nộp trong kỳ,numeric__31/12/2015
Phải nộp,Phải nộp,Phải nộp,197.948.461.195,143.421.648.422,177.459.821.426,163.910.288.191,197948461195.0,143421648422.0,177459821426.0,163910288191.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,123.845.153.204,100.244.533.904,98.391.604.398,125.698.082.710,123845153204.0,100244533904.0,98391604398.0,125698082710.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,73.314.763.824,38.428.693.912,73.921.185.069,37.822.272.667,73314763824.0,38428693912.0,73921185069.0,37822272667.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,780.346.467,3.113.047.643,3.599.996.196,293.397.914,780346467.0,3113047643.0,3599996196.0,293397914.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,4.684.400,197.273.104,135.212.336,66.745.168,4684400.0,197273104.0,135212336.0,66745168.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",,421.636.219,421.636.219,-,,421636219.0,421636219.0,
Thuế khác,Thuế khác,Thuế khác,-,826.415.688,826.415.688,-,,826415688.0,826415688.0,
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",3.513.300,190.047.952,163.771.520,29.789.732,3513300.0,190047952.0,163771520.0,29789732.0
Phải thu,Phải thu,Phải thu,11.543.189.745,10.183.312.035,3.205.672.120,4.565.549.830,11543189745.0,10183312035.0,3205672120.0,4565549830.0
Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,Thuế giá trị gia tăng nộp thừa,7.263.788.801,7.201.843.801,15.120.000,77.065.000,7263788801.0,7201843801.0,15120000.0,77065000.0
Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,4.227.799.249,2.929.866.539,3.190.552.120,4.488.484.830,4227799249.0,2929866539.0,3190552120.0,4488484830.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",51.601.695,51.601.695,-,-,51601695.0,51601695.0,,
