row_label_raw,row_label_full,TT,Tên công ty,Trụ sở,Tỷ lệ sở hữu vốn của Công ty mẹ (%),Tỷ lệ biểu quyết (%),Lĩnh vực kinh doanh chính,numeric__Tên công ty,numeric__Trụ sở,numeric__Tỷ lệ sở hữu vốn của Công ty mẹ (%),numeric__Tỷ lệ biểu quyết (%),numeric__Lĩnh vực kinh doanh chính
,,,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
1,1,1,Công ty Cổ phần Tasco Thành Công,Hà Nội,51,51,Khai thác VLXD,,,51.0,51.0,
2,2,2,Công ty Cổ phần Tasco Nam Thái,Thái Bình,51,51,Xây lắp,,,51.0,51.0,
3,3,3,Công ty Cổ phần VETC,Hà Nội,51,51,"Dịch vụ, xây lắp",,,51.0,51.0,
4,4,4,Công ty TNHH MTV Tasco Nam Định,Nam Định,100,100,Xây lắp,,,100.0,100.0,
5,5,5,Công ty TNHH MTV Tasco 6,Nam Định,100,100,Dịch vụ,,,100.0,100.0,
6,6,6,Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,100,100,Xây lắp,,,100.0,100.0,
7,7,7,Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,100,100,Xây lắp,,,100.0,100.0,
,,,"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,,
1,1,1,Công ty Cổ phần BĐS Thái An,Hà Nội,30,30,Kinh doanh BĐS,,,30.0,30.0,
2,2,2,Công ty Cổ phần Tasco Thăng Long,Hà Nội,30,30,Kinh doanh BĐS,,,30.0,30.0,
3,3,3,Công ty Cổ phần D-Tech,Hà Nội,20,20,Khai thác VLXD,,,20.0,20.0,
4,4,4,Tổng Công ty Thăng Long – CTCP,Hà Nội,"35,4","35,4",Xây lắp,,,35.4,35.4,
5,5,5,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Phú Thọ,30,30,Xây lắp,,,30.0,30.0,
