row_label_raw,row_label_full,Bảng Cân đối kế toán tại ngày 31/12/2014 > Chỉ tiêu,Bảng Cân đối kế toán tại ngày 31/12/2014 > MS,Bảng Cân đối kế toán tại ngày 31/12/2014 > 31/12/2014 VND,Bảng Cân đối kế toán tại ngày 31/12/2015 > Chỉ tiêu,Bảng Cân đối kế toán tại ngày 31/12/2015 > MS,Bảng Cân đối kế toán tại ngày 31/12/2015 > 01/01/2015 VND,Ghi chú,numeric__Bảng Cân đối kế toán tại ngày 31/12/2014 > MS,numeric__Bảng Cân đối kế toán tại ngày 31/12/2014 > 31/12/2014 VND,numeric__Bảng Cân đối kế toán tại ngày 31/12/2015 > Chỉ tiêu,numeric__Bảng Cân đối kế toán tại ngày 31/12/2015 > MS,numeric__Bảng Cân đối kế toán tại ngày 31/12/2015 > 01/01/2015 VND,numeric__Ghi chú
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,135,33.443.383.831,Phải thu về cho vay ngắn hạn,135,362.000.000,Phân loại lại,135.0,33443383831.0,,135.0,362000000.0,
Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,135,33.443.383.831,Phải thu ngắn hạn khác,136,33.081.383.831,Phân loại lại,135.0,33443383831.0,,136.0,33081383831.0,
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,158,28.582.290.624,Phải thu ngắn hạn khác,136,28.582.290.624,Phân loại lại,158.0,28582290624.0,,136.0,28582290624.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,258,115.187.942.361,Đầu tư góp vốn vào đơn vị khác,253,85.212.349.400,Phân loại lại,258.0,115187942361.0,,253.0,85212349400.0,
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,258,115.187.942.361,Đầu tư nằm giữ đến ngày đáo hạn,255,29.975.592.961,Phân loại lại,258.0,115187942361.0,,255.0,29975592961.0,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,313,596.938.297.286,Người mua trả tiền trước ngắn hạn,312,134.421.423.286,Phân loại lại,313.0,596938297286.0,,312.0,134421423286.0,
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,313,596.938.297.286,Người mua trả tiền trước dài hạn,332,462.516.874.000,Phân loại lại,313.0,596938297286.0,,332.0,462516874000.0,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,316,42.344.787.581,Chi phí phải trả ngắn hạn,315,31.672.903.944,Phân loại lại,316.0,42344787581.0,,315.0,31672903944.0,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,316,42.344.787.581,Chi phí phải trả dài hạn,333,10.671.883.637,Phân loại lại,316.0,42344787581.0,,333.0,10671883637.0,
Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,338,240.860.093.601,Doanh thu chưa thực hiện ngắn hạn,318,22.727.272,Phân loại lại,338.0,240860093601.0,,318.0,22727272.0,
Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,338,240.860.093.601,Doanh thu chưa thực hiện dài hạn,336,240.837.366.329,Phân loại lại,338.0,240860093601.0,,336.0,240837366329.0,
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,417,33.276.441.113,Quỹ đầu tư phát triển,418,46.899.878.364,Gộp số liệu,417.0,33276441113.0,,418.0,46899878364.0,
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,418,13.623.437.251,,,,,418.0,13623437251.0,,,,
