row_label_raw,row_label_full,col_0,31/12/2015 > Giá trị ghi sổ,31/12/2015 > Dự phòng,01/01/2015 > Giá trị ghi sổ,01/01/2015 > Dự phòng,numeric__31/12/2015 > Giá trị ghi sổ,numeric__31/12/2015 > Dự phòng,numeric__01/01/2015 > Giá trị ghi sổ,numeric__01/01/2015 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,126.653.633.499,-,61.663.674.455,-,126653633499.0,,61663674455.0,
"- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia","- Phải thu cổ tức, lợi nhuận được chia",2.687.264.300,-,-,-,2687264300.0,,,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",593.770.000,-,5.469.470.000,-,593770000.0,,5469470000.0,
- Tạm ứng,- Tạm ứng,- Tạm ứng,40.041.711.975,-,19.962.820.624,-,40041711975.0,,19962820624.0,
- Phải thu khác,- Phải thu khác,- Phải thu khác,83.330.887.224,-,36.231.383.831,-,83330887224.0,,36231383831.0,
Trung tâm Phát triển quỹ đất huyện Bố Trạch,Trung tâm Phát triển quỹ đất huyện Bố Trạch,Trung tâm Phát triển quỹ đất huyện Bố Trạch,3.785.224.789,-,7.635.511.972,-,3785224789.0,,7635511972.0,
Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,Trung tâm phát triển quỹ đất huyện Từ Liêm,14.170.795.112,-,-,-,14170795112.0,,,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,65.374.867.323,-,28.595.871.859,-,65374867323.0,,28595871859.0,
Dài hạn,Dài hạn,Dài hạn,3.273.104.515,-,-,-,3273104515.0,,,
"- Ký cược, ký quỹ","- Ký cược, ký quỹ","- Ký cược, ký quỹ",3.273.104.515,-,-,-,3273104515.0,,,
Tổng,Tổng,Tổng,129.926.738.014,-,61.663.674.455,-,129926738014.0,,61663674455.0,
