row_label_raw,row_label_full,col_0,col_1,MS,TM,31/12/2015VND,01/01/2015VND,numeric__col_1,numeric__MS,numeric__TM,numeric__31/12/2015VND,numeric__01/01/2015VND
C-,C-,C-,NỘ PHẢI TRẢ,300,,5.363.935.180.003,4.885.559.012.758,,300.0,,5363935180003.0,4885559012758.0
I.,I.,I.,Nợ ngắn hạn,310,,727.384.624.117,1.094.500.555.768,,310.0,,727384624117.0,1094500555768.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,5.11,192.464.527.678,229.709.183.490,,311.0,511.0,192464527678.0,229709183490.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,65.886.681.745,134.421.423.286,,312.0,,65886681745.0,134421423286.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,5.12,163.910.288.191,197.948.461.195,,313.0,512.0,163910288191.0,197948461195.0
4.,4.,4.,Phải trả người lao động,314,,8.712.349.968,7.343.083.779,,314.0,,8712349968.0,7343083779.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,5.13,97.852.658.543,31.672.903.944,,315.0,513.0,97852658543.0,31672903944.0
8.,8.,8.,Doanh thu chưa thực hiện ngắn hạn,318,5.14,22.727.272,22.727.272,,318.0,514.0,22727272.0,22727272.0
9.,9.,9.,Phải trả ngắn hạn khác,319,5.15,53.413.206.224,124.809.285.529,,319.0,515.0,53413206224.0,124809285529.0
10.,10.,10.,Vay và nợ thuê tài chính ngắn hạn,320,5.10,129.460.545.030,365.032.565.849,,320.0,510.0,129460545030.0,365032565849.0
11.,11.,11.,Dự phòng phải trả ngắn hạn,321,5.16,5.959.469.092,-,,321.0,516.0,5959469092.0,
12.,12.,12.,Quỹ khen thưởng phúc lợi,322,,9.702.170.374,3.540.921.424,,322.0,,9702170374.0,3540921424.0
II.,II.,II.,Nợ dài hạn,330,,4.636.550.555.886,3.791.058.456.990,,330.0,,4636550555886.0,3791058456990.0
1.,1.,1.,Phải trả người bán dài hạn,331,5.11,3.470.039.533,-,,331.0,511.0,3470039533.0,
2.,2.,2.,Người mua trả tiền trước dài hạn,332,,-,462.516.874.000,,332.0,,,462516874000.0
3.,3.,3.,Chi phí phải trả dài hạn,333,5.13,-,10.671.883.637,,333.0,513.0,,10671883637.0
6.,6.,6.,Doanh thu chưa thực hiện dài hạn,336,5.14,306.387.237,240.837.366.329,,336.0,514.0,306387237.0,240837366329.0
7.,7.,7.,Phải trả dài hạn khác,337,5.15,1.037.775.003.208,910.701.356.807,,337.0,515.0,1037775003208.0,910701356807.0
8.,8.,8.,Vay và nợ thuê tài chính dài hạn,338,5.10,3.579.614.827.726,2.166.330.976.217,,338.0,510.0,3579614827726.0,2166330976217.0
12.,12.,12.,Dự phòng phải trả dài hạn,342,5.16,15.384.298.182,-,,342.0,516.0,15384298182.0,
D-,D-,D-,VỐN CHỦ SỐ HỮU,400,,1.722.415.693.973,1.327.778.272.292,,400.0,,1722415693973.0,1327778272292.0
I-,I-,I-,Vốn chủ sở hữu,410,5.17,1.722.415.693.973,1.327.778.272.292,,410.0,517.0,1722415693973.0,1327778272292.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,1.284.047.330.000,946.474.910.000,,411.0,,1284047330000.0,946474910000.0
,,,Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.284.047.330.000,946.474.910.000,,,,1284047330000.0,946474910000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,70.238.348.433,3.734.064.565,,412.0,,70238348433.0,3734064565.0
7.,7.,7.,Quỹ đầu tư phát triển,418,,72.781.820.671,46.899.878.364,,418.0,,72781820671.0,46899878364.0
10.,10.,10.,Lợi nhuận sau thuế chưa phân phối,421,,291.843.960.332,298.760.705.145,,421.0,,291843960332.0,298760705145.0
,,,LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,125.956.188.284,41.574.732.414,,,,125956188284.0,41574732414.0
,,,LNST chưa phân phối kỳ này,421b,,165.887.772.048,257.185.972.731,,,,165887772048.0,257185972731.0
12.,12.,12.,Lợi ích cổ đông không kiểm soát,429,,3.504.234.537,31.908.714.218,,429.0,,3504234537.0,31908714218.0
TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),TỔNG CỘNG NGUỒN VỐN(440 = 300+400),440,,7.086.350.873.976,6.213.337.285.050,,440.0,,7086350873976.0,6213337285050.0
