row_label_raw,row_label_full,Thuyết minh theo loại tiền gửi:,Thuyết minh theo loại tiền gửi: > 31/12/2019,Thuyết minh theo loại tiền gửi: > 31/12/2018,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2019,numeric__Thuyết minh theo loại tiền gửi: > 31/12/2018
,,,Triệu VND,Triệu VND,,
"Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn","Tiền, vàng gửi không kỳ hạn",1.352.820,751.244,1352820.0,751244.0
- Bằng VND,- Bằng VND,- Bằng VND,1.330.442,734.377,1330442.0,734377.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,22.378,16.867,22378.0,16867.0
"Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn","Tiền, vàng gửi có kỳ hạn",74.741.607,71.752.183,74741607.0,71752183.0
- Bằng VND,- Bằng VND,- Bằng VND,74.656.423,71.621.683,74656423.0,71621683.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,85.184,130.500,85184.0,130500.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,3.481,5,3481.0,5.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,65.363,30.990,65363.0,30990.0
- Bằng VND,- Bằng VND,- Bằng VND,65.349,30.976,65349.0,30976.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,14,14,14.0,14.0
,,,76.163.271,72.534.422,76163271.0,72534422.0
"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",,
,,,31/12/2019,31/12/2018,,
,,,Triệu VND,Triệu VND,,
Bằng VND,"18 . Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro > Bằng VND",Bằng VND,5.587,12.467,5587.0,12467.0
,,,5.587,12.467,5587.0,12467.0
