row_label_raw,row_label_full,Chỉ tiêu,"Nhà cửa,vật kiến trúc > Triệu VND","Máy móc,thiết bị > Triệu VND",Phương tiệnvận tải > Triệu VND,Thiết bị dụng cụquản lý > Triệu VND,Cộng > Triệu VND,"numeric__Nhà cửa,vật kiến trúc > Triệu VND","numeric__Máy móc,thiết bị > Triệu VND",numeric__Phương tiệnvận tải > Triệu VND,numeric__Thiết bị dụng cụquản lý > Triệu VND,numeric__Cộng > Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.500,126.722,66.271,43.432,301.925,65500.0,126722.0,66271.0,43432.0,301925.0
- Mua sắm trong năm,Nguyên giá > - Mua sắm trong năm,- Mua sắm trong năm,2.085,10.708,22.763,5.541,41.097,2085.0,10708.0,22763.0,5541.0,41097.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(34),(45),(112),-,(191),-34.0,-45.0,-112.0,,-191.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,67.551,137.385,88.922,48.973,342.831,67551.0,137385.0,88922.0,48973.0,342831.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,28.871,81.597,36.887,38.715,186.070,28871.0,81597.0,36887.0,38715.0,186070.0
- Khấu hao trong năm,Giá trị hao mòn luỹ kế > - Khấu hao trong năm,- Khấu hao trong năm,2.595,12.621,6.903,2.205,24.324,2595.0,12621.0,6903.0,2205.0,24324.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,31.466,94.218,43.790,40.920,210.394,31466.0,94218.0,43790.0,40920.0,210394.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,36.629,45.125,29.384,4.717,115.855,36629.0,45125.0,29384.0,4717.0,115855.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,36.085,43.167,45.132,8.053,132.437,36085.0,43167.0,45132.0,8053.0,132437.0
