row_label_raw,row_label_full,Chỉ tiêu,Chỉ tiêu_1,Quá hạn > Triệu VND,Không chịu lãi > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,Tổng > Triệu VND,numeric__Chỉ tiêu_1,numeric__Quá hạn > Triệu VND,numeric__Không chịu lãi > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Dưới 01 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ 01 đến 03 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 03 đến 06 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 06 đến 12 tháng > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Từ trên 01 đến 05 năm > Triệu VND,numeric__Thay đổi lãi suất trong khoảng thời gian > Trên 05 năm > Triệu VND,numeric__Tổng > Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
I,TÀI SẢN > I,I,"Tiền mặt, vàng bạc, đá quý",-,568.407,-,-,-,-,-,-,568.407,,,568407.0,,,,,,,568407.0
II,TÀI SẢN > II,II,Tiền gửi tại NHNN,-,-,495.075,-,-,-,-,-,495.075,,,,495075.0,,,,,,495075.0
III,TÀI SẢN > III,III,"Tiền, vàng gửi và cho vay các TCTD khác (*)",-,-,5.062.774,6.000.000,1.000.000,-,457.781,-,12.520.555,,,,5062774.0,6000000.0,1000000.0,,457781.0,,12520555.0
IV,TÀI SẢN > IV,IV,Chứng khoán kinh doanh (*),-,-,136.500,-,-,-,3.000.000,-,3.136.500,,,,136500.0,,,,3000000.0,,3136500.0
V,TÀI SẢN > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác (*),-,-,27.641,-,-,-,-,-,27.641,,,,27641.0,,,,,,27641.0
VI,TÀI SẢN > VI,VI,Cho vay khách hàng (*),546.206,-,4.393.660,3.765.995,10.670.319,12.007.110,13.876.856,27.673.166,72.933.312,,546206.0,,4393660.0,3765995.0,10670319.0,12007110.0,13876856.0,27673166.0,72933312.0
VII,TÀI SẢN > VII,VII,Chứng khoán đầu tư (*),-,473.078,-,-,-,-,10.086.869,4.549.637,15.109.584,,,473078.0,,,,,10086869.0,4549637.0,15109584.0
VIII,TÀI SẢN > VIII,VIII,"Góp vốn, đầu tư dài hạn (*)",-,270.660,-,-,-,-,-,-,270.660,,,270660.0,,,,,,,270660.0
IX,TÀI SẢN > IX,IX,Tài sản cố định và bất động sản đầu tư,-,678.822,-,-,-,-,-,-,678.822,,,678822.0,,,,,,,678822.0
X,TÀI SẢN > X,X,Tài sản có khác,-,3.185.678,-,-,-,-,-,-,3.185.678,,,3185678.0,,,,,,,3185678.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,Tổng tài sản,546.206,5.176.645,10.115.650,9.765.995,11.670.319,12.007.110,27.421.506,32.222.803,108.926.234,,546206.0,5176645.0,10115650.0,9765995.0,11670319.0,12007110.0,27421506.0,32222803.0,108926234.0
