row_label_raw,row_label_full,col_0,"Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,Khác,Khác_1,Hoạt động chung không phân bổ,Hoạt động chung không phân bổ_1,Tổng cộng,Tổng cộng_1,"numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ","numeric__Huy động vốn và cho vay lại, kinh doanh chứng khoán nợ_1",numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần,numeric__Kinh doanh chứng khoán vốn và góp vốn mua cổ phần_1,numeric__Khác,numeric__Khác_1,numeric__Hoạt động chung không phân bổ,numeric__Hoạt động chung không phân bổ_1,numeric__Tổng cộng,numeric__Tổng cộng_1
,,,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,Năm nay/Cuối nămTriệu VND,Năm trước/ Đầu nămTriệu VND,,,,,,,,,,
I. Doanh thu,I. Doanh thu,I. Doanh thu,8.928.182,7.577.884,74.363,148.964,292.138,344.118,-,-,9.294.683,8.070.966,8928182.0,7577884.0,74363.0,148964.0,292138.0,344118.0,,,9294683.0,8070966.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,8.928.182,7.577.884,-,-,7.952,10.141,-,-,8.936.134,7.588.025,8928182.0,7577884.0,,,7952.0,10141.0,,,8936134.0,7588025.0
2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,2. Doanh thu từ hoạt động đầu tư,-,-,74.363,148.964,-,-,-,-,74.363,148.964,,,74363.0,148964.0,,,,,74363.0,148964.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,-,-,-,-,284.186,333.977,-,-,284.186,333.977,,,,,284186.0,333977.0,,,284186.0,333977.0
II. Chi phí,II. Chi phí,II. Chi phí,6.969.579,5.889.353,25.967,43.413,99.626,146.214,1.103.592,879.857,8.198.764,6.958.837,6969579.0,5889353.0,25967.0,43413.0,99626.0,146214.0,1103592.0,879857.0,8198764.0,6958837.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,6.969.579,5.889.353,-,-,-,-,-,-,6.969.579,5.889.353,6969579.0,5889353.0,,,,,,,6969579.0,5889353.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,-,-,-,-,-,-,31.777,29.542,31.777,29.542,,,,,,,31777.0,29542.0,31777.0,29542.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,-,-,25.967,43.413,99.626,146.214,1.071.815,850.315,1.197.408,1.039.942,,,25967.0,43413.0,99626.0,146214.0,1071815.0,850315.0,1197408.0,1039942.0
Kết quả kinh doanh trước chi phí dự phòng,Kết quả kinh doanh trước chi phí dự phòng,Kết quả kinh doanh trước chi phí dự phòng,1.958.603,1.688.531,48.396,105.551,192.512,197.904,(1.103.592),(879.857),1.095.919,1.112.129,1958603.0,1688531.0,48396.0,105551.0,192512.0,197904.0,-1103592.0,-879857.0,1095919.0,1112129.0
Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,Chi phí/(Hoàn nhập) dự phòng rủi ro,154.901,274.412,7.125,(4.749),-,-,-,-,162.026,269.663,154901.0,274412.0,7125.0,-4749.0,,,,,162026.0,269663.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.803.702,1.414.119,41.271,110.300,192.512,197.904,(1.103.592),(879.857),933.893,842.466,1803702.0,1414119.0,41271.0,110300.0,192512.0,197904.0,-1103592.0,-879857.0,933893.0,842466.0
