row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2019 > Triệu VND,31/12/2018 > Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2019 > Triệu VND,numeric__31/12/2018 > Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,15,196.047,112.491,,15.0,196047.0,112491.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,14.658.448,13.405.883,,16.0,14658448.0,13405883.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,13.067.379,12.761.764,,,13067379.0,12761764.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,1.591.069,644.119,,,1591069.0,644119.0
III,B > III,III,Tiền gửi của khách hàng,17,76.163.271,72.534.422,,17.0,76163271.0,72534422.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,5.587,12.467,,18.0,5587.0,12467.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,6.134.254,1.333.848,,19.0,6134254.0,1333848.0
VII,B > VII,VII,Các khoản nợ khác,,2.917.177,2.547.494,,,2917177.0,2547494.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.613.019,2.318.538,,,2613019.0,2318538.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,304.158,228.956,,20.0,304158.0,228956.0
,,,TỔNG NỘ PHẢI TRẢ,,100.074.784,89.946.605,,,100074784.0,89946605.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,7.814.985,7.082.456,,21.0,7814985.0,7082456.0
1,B > 1,1,Vốn của tổ chức tín dụng,,6.507.398,5.507.398,,,6507398.0,5507398.0
\( a \),B > \( a \),\( a \),Vốn điều lệ,,6.500.000,5.500.000,,,6500000.0,5500000.0
\( c \),B > \( c \),\( c \),Thặng dư vốn cổ phần,,7.398,7.398,,,7398.0,7398.0
2,B > 2,2,Quỹ của tổ chức tín dụng,,486.509,400.015,,,486509.0,400015.0
5,B > 5,5,Lợi nhuận chưa phân phối,,821.078,1.175.043,,,821078.0,1175043.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,107.889.769,97.029.061,,,107889769.0,97029061.0
