row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả các thầu phụ,Ngắn hạn > Phải trả các thầu phụ,Phải trả các thầu phụ,17.862.579.759,16.328.132.246,17862579759.0,16328132246.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",16.257.545.683,11.521.095.329,16257545683.0,11521095329.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.929.314.758,6.843.144.499,6929314758.0,6843144499.0
"Kinh phí đo đạc, cẩm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cẩm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cẩm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",1.620.147.547,1.620.147.547,1620147547.0,1620147547.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",257.006.379,1.959.241.185,257006379.0,1959241185.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",19.272.001.451,15.023.610.965,19272001451.0,15023610965.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,62.198.595.577,53.295.371.771,62198595577.0,53295371771.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",32.514.226.513,21.619.332.589,32514226513.0,21619332589.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,-,2.322.722.424,,2322722424.0
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Dài hạn > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,33.729.762.193,25.157.590.693,33729762193.0,25157590693.0
