row_label_raw,row_label_full,Các khoản chi phí bán hàng phát sinh trong năm,Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Năm nay > Các khoản chi phí bán hàng phát sinh trong năm,numeric__Đơn vị tính: VND > Năm trước > Các khoản chi phí bán hàng phát sinh trong năm
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,6.812.322.165,6.155.716.374,6812322165.0,6155716374.0
Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,8.690.351.934,8.796.529.692,8690351934.0,8796529692.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,30.323.463.551,17.279.243.908,30323463551.0,17279243908.0
"Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn",293.466.533,803.770.210,293466533.0,803770210.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,4.091.463.532,3.120.591.669,4091463532.0,3120591669.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,50.211.067.715,36.155.851.853,50211067715.0,36155851853.0
Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,,
Chi phí nhân công,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân công,Chi phí nhân công,141.366.248.520,128.580.279.144,141366248520.0,128580279144.0
"Chi phí khấu hao, hao mòn","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khấu hao, hao mòn","Chi phí khấu hao, hao mòn",9.962.427.179,9.771.780.551,9962427179.0,9771780551.0
"Thuế, phí, và lệ phí","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Thuế, phí, và lệ phí","Thuế, phí, và lệ phí",8.508.532.751,4.734.463.127,8508532751.0,4734463127.0
"Chi phí nguyên liệu, vật liệu","Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",3.049.806.491,2.330.669.782,3049806491.0,2330669782.0
Chi phí dự phòng,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dự phòng,Chi phí dự phòng,19.690.836.681,33.943.358.585,19690836681.0,33943358585.0
Chi phí dịch vụ mua ngoài,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,33.796.031.177,26.612.943.179,33796031177.0,26612943179.0
Chi phí khác bằng tiền,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí khác bằng tiền,Chi phí khác bằng tiền,62.196.776.057,59.808.987.689,62196776057.0,59808987689.0
TỔNG CỘNG,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm > TỔNG CỘNG,TỔNG CỘNG,278.570.658.856,265.782.482.057,278570658856.0,265782482057.0
