row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,48.378.917.001,-,66.066.636.198,-,48378917001.0,,66066636198.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,17.538.932.881,(16.368.641.409),17.538.932.881,(16.368.641.409),17538932881.0,-16368641409.0,17538932881.0,-16368641409.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,9.642.997.236,-,11.389.447.714,-,9642997236.0,,11389447714.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,15.432.472.250,(4.481.596.760),16.207.104.087,(4.536.300.983),15432472250.0,-4481596760.0,16207104087.0,-4536300983.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),21.347.807.505,-,20.035.451.705,-,21347807505.0,,20035451705.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,112.341.126.873,(20.850.238.169),131.237.572.585,(20.904.942.392),112341126873.0,-20850238169.0,131237572585.0,-20904942392.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.547.087.699,-,996.523.177,-,1547087699.0,,996523177.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.547.087.699,-,996.523.177,-,1547087699.0,,996523177.0,
