row_label_raw,row_label_full,col_0,Nhà cửa,Máy móc thiết bị,Quyền sử dụng đất,Tổng cộng,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Quyền sử dụng đất,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,254.757.180.593,50.854.067.382,2.330.218.560,307.941.466.535,254757180593.0,50854067382.0,2330218560.0,307941466535.0
- Chuyển thành phẩm bất động sản sang,Nguyên giá: > - Chuyển thành phẩm bất động sản sang,- Chuyển thành phẩm bất động sản sang,13.096.416.842,-,-,13.096.416.842,13096416842.0,,,13096416842.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(204.761.905),-,(204.761.905),,-204761905.0,,-204761905.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,-,624.129.524,-,624.129.524,,624129524.0,,624129524.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,267.853.597.435,51.273.435.001,2.330.218.560,321.457.250.996,267853597435.0,51273435001.0,2330218560.0,321457250996.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,1.996.394.830,50.649.305.477,-,52.645.700.307,1996394830.0,50649305477.0,,52645700307.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,89.498.553.324,50.035.287.086,-,139.533.840.410,89498553324.0,50035287086.0,,139533840410.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,9.084.496.495,963.793.642,-,10.048.290.137,9084496495.0,963793642.0,,10048290137.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(204.761.905),-,(204.761.905),,-204761905.0,,-204761905.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,98.583.049.819,50.794.318.823,-,149.377.368.642,98583049819.0,50794318823.0,,149377368642.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,165.258.627.269,818.780.296,2.330.218.560,168.407.626.125,165258627269.0,818780296.0,2330218560.0,168407626125.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,169.270.547.616,479.116.178,2.330.218.560,172.079.882.354,169270547616.0,479116178.0,2330218560.0,172079882354.0
