row_label_raw,row_label_full,Năm trước > Số đầu năm > - Lợi nhuận thuần trong năm,Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000 > -,Vốn khác thuộc chủ sở hữu > Năm trước > 9.015.428.100 > -,Chênh lệch tỷ giá hồi đoái > Năm trước > (10.234.964.947) > -,Quỹ đầu tư phát triển > Năm trước > 235.971.816.537 > -,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285 > -,Lợi nhuận sau thuế chưa phần phối > Năm trước > 1.207.708.073.182 > 291.873.353.758,Lợi ích cổ đông không kiểm soát > Năm trước > 98.650.753.084 > (16.049.184.690),Đơn vị tính: VND Tổng cộng > Năm trước > 5.041.159.958.241 > 275.824.169.068,numeric__Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000 > -,numeric__Vốn khác thuộc chủ sở hữu > Năm trước > 9.015.428.100 > -,numeric__Chênh lệch tỷ giá hồi đoái > Năm trước > (10.234.964.947) > -,numeric__Quỹ đầu tư phát triển > Năm trước > 235.971.816.537 > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285 > -,numeric__Lợi nhuận sau thuế chưa phần phối > Năm trước > 1.207.708.073.182 > 291.873.353.758,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 98.650.753.084 > (16.049.184.690),numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 5.041.159.958.241 > 275.824.169.068
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(289.100.000.000),(2.832.981.814),(291.932.981.814),,,,,,-289100000000.0,-2832981814.0,-291932981814.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS",-,-,-,-,-,(42.609.153.804),(1.820.918.435),(44.430.072.239),,,,,,-42609153804.0,-1820918435.0,-44430072239.0
- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,- Trích lập quỹ đầu tư phát triển,-,-,-,4.622.077.085,-,(4.622.077.085),-,-,,,,4622077085.0,,-4622077085.0,,
- Điều chỉnh khác,- Điều chỉnh khác,- Điều chỉnh khác,-,-,(2.083.932.034),3.920.171.732,-,(3.744.202.259),-,(1.907.962.561),,,-2083932034.0,3920171732.0,,-3744202259.0,,-1907962561.0
Số cuối năm,Số cuối năm,Số cuối năm,3.500.000.000.000,9.015.428.100,(12.318.896.981),244.514.065.354,48.852.285,1.159.505.993.792,77.947.668.145,4.978.713.110.695,3500000000000.0,9015428100.0,-12318896981.0,244514065354.0,48852285.0,1159505993792.0,77947668145.0,4978713110695.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.500.000.000.000,9.015.428.100,(12.318.896.981),244.514.065.354,48.852.285,1.159.505.993.792,77.947.668.145,4.978.713.110.695,3500000000000.0,9015428100.0,-12318896981.0,244514065354.0,48852285.0,1159505993792.0,77947668145.0,4978713110695.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,358.101.022.053,(432.615.992),357.668.406.061,,,,,,358101022053.0,-432615992.0,357668406061.0
- Chia cổ tức (*),Năm nay > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,-,-,(322.350.000.000),(1.008.368.865),(323.358.368.865),,,,,,-322350000000.0,-1008368865.0,-323358368865.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)","Năm nay > - Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)",-,-,-,-,-,(17.824.439.772),(699.976.243),(18.524.416.015),,,,,,-17824439772.0,-699976243.0,-18524416015.0
- Trích quỹ đầu tư phát triển,Năm nay > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,1.884.654.860,-,(1.884.654.860),-,-,,,,1884654860.0,,-1884654860.0,,
- Ảnh hưởng do thoái vốn đầu tư vào công ty con,Năm nay > - Ảnh hưởng do thoái vốn đầu tư vào công ty con,- Ảnh hưởng do thoái vốn đầu tư vào công ty con,-,-,-,(349.641.628),-,349.641.628,-,-,,,,-349641628.0,,349641628.0,,
- Điều chỉnh khác,Năm nay > - Điều chỉnh khác,- Điều chỉnh khác,-,-,556.489.082,1.262.551.495,-,(10.640.305.096),-,(8.821.264.519),,,556489082.0,1262551495.0,,-10640305096.0,,-8821264519.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.500.000.000.000,9.015.428.100,(11.762.407.899),247.311.630.081,48.852.285,1.165.257.257.745,75.806.707.045,4.985.677.467.357,3500000000000.0,9015428100.0,-11762407899.0,247311630081.0,48852285.0,1165257257745.0,75806707045.0,4985677467357.0
