row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Vũng Áng,Công ty liên kết,Bán hàng hóa,44.463.475.957,55.469.429.667,,,44463475957.0,55469429667.0
Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty Cổ phần Gỗ lạng Buôn Ma Thuột,Công ty liên kết,Bán hàng hóa,3.725.010.158,2.339.480.720,,,3725010158.0,2339480720.0
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty liên kết,Phí quản lý,126.230.400,779.868.000,,,126230400.0,779868000.0
Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,Công ty liên kết,Cho thuê văn phòng và các dịch vụ phụ trợ khác,49.579.043,47.562.356,,,49579043.0,47562356.0
Công ty TNHH Sản xuất Nguyên liệu giấy Việt nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt nhật Cái Lân,Công ty TNHH Sản xuất Nguyên liệu giấy Việt nhật Cái Lân,Công ty liên kết,Phí quản lý,-,1.039.824.000,,,,1039824000.0
Công ty cổ phần Archi Reenco Hòa Bình,Công ty cổ phần Archi Reenco Hòa Bình,Công ty cổ phần Archi Reenco Hòa Bình,Đầu tư khác,Tiền bồi thường,-,120.000.000,,,,120000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,48.364.295.558,59.796.164.743,,,48364295558.0,59796164743.0
Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2),,,,
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2) > Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty liên kết,Ứng trước tiền hàng,5.533.117.600,-,,,5533117600.0,
TỔNG CỘNG,Người mua trả tiền trước ngắn hạn (Thuyết minh số 16.2) > TỔNG CỘNG,TỔNG CỘNG,,,5.533.117.600,-,,,5533117600.0,
