row_label_raw,row_label_full,Họ tên,Chức vụ,Thu nhập,Thu nhập_1,numeric__Chức vụ,numeric__Thu nhập,numeric__Thu nhập_1
Họ tên,Họ tên,Họ tên,Chức vụ,Năm nay,Năm trước,,,
Phí Mạnh Cường,Họ tên > Phí Mạnh Cường,Phí Mạnh Cường,Chủ tịch HĐQT,1.793.446.699,2.046.711.233,,1793446699.0,2046711233.0
Đỗ Ngọc Khanh,Họ tên > Đỗ Ngọc Khanh,Đỗ Ngọc Khanh,Phó chủ tịch HĐQT (Miễn nhiệm ngày 28 tháng 6 năm 2024),960.700.209,1.640.368.991,,960700209.0,1640368991.0
Đỗ Vinh Quang,Họ tên > Đỗ Vinh Quang,Đỗ Vinh Quang,Phó chủ tịch HĐQT(Bỗ nhiệm ngày 28 tháng 6 năm 2024),475.057.156,-,,475057156.0,
Lê Quốc Khánh,Họ tên > Lê Quốc Khánh,Lê Quốc Khánh,Tổng Giám đốc/Thành viên HĐQT,1.674.216.918,1.911.263.818,,1674216918.0,1911263818.0
Nguyễn Tấn Cường,Họ tên > Nguyễn Tấn Cường,Nguyễn Tấn Cường,Thành viên HĐQT (Miễn nhiệm ngày 28 tháng 6 năm 2024),136.382.049,1.047.751.732,,136382049.0,1047751732.0
Nguyễn Trung Kiên,Họ tên > Nguyễn Trung Kiên,Nguyễn Trung Kiên,Phó Tổng giám đốc/Thành viên HĐQT,1.197.297.806,1.369.474.163,,1197297806.0,1369474163.0
Ngô Thị Thúy Mai,Họ tên > Ngô Thị Thúy Mai,Ngô Thị Thúy Mai,Phó Tổng giám đốc/Thành viên HĐQT,951.528.775,961.404.539,,951528775.0,961404539.0
Vũ Văn Hường,Họ tên > Vũ Văn Hường,Vũ Văn Hường,Phó Tổng Giám đốc,820.586.408,950.901.972,,820586408.0,950901972.0
Nguyễn Khương Lâm,Họ tên > Nguyễn Khương Lâm,Nguyễn Khương Lâm,Phó Tổng Giám đốc,820.488.210,954.964.302,,820488210.0,954964302.0
TỔNG CỘNG,Họ tên > TỔNG CỘNG,TỔNG CỘNG,,8.829.704.230,10.882.840.750,,8829704230.0,10882840750.0
