row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.596.767.591.073,1.690.371.543.857,1596767591073.0,1690371543857.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ kinh doanh thương mại gỗ,Trong đó: > Doanh thu từ kinh doanh thương mại gỗ,Doanh thu từ kinh doanh thương mại gỗ,737.852.518.196,738.507.119.821,737852518196.0,738507119821.0
Doanh thu từ bán thành phẩm sản xuất từ gỗ,Trong đó: > Doanh thu từ bán thành phẩm sản xuất từ gỗ,Doanh thu từ bán thành phẩm sản xuất từ gỗ,423.098.592.642,440.878.239.547,423098592642.0,440878239547.0
Doanh thu từ hoạt động khai thác rừng trồng,Trong đó: > Doanh thu từ hoạt động khai thác rừng trồng,Doanh thu từ hoạt động khai thác rừng trồng,227.705.620.264,105.532.490.940,227705620264.0,105532490940.0
Doanh thu từ dịch vụ,Trong đó: > Doanh thu từ dịch vụ,Doanh thu từ dịch vụ,119.580.755.242,118.019.851.116,119580755242.0,118019851116.0
Doanh thu từ chuyển nhượng bất động sản,Trong đó: > Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,-,203.600.967.360,,203600967360.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,88.530.104.729,83.832.875.073,88530104729.0,83832875073.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,223.789.716,5.175.820.384,223789716.0,5175820384.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,223.789.716,5.175.820.384,223789716.0,5175820384.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.596.543.801.357,1.685.195.723.473,1596543801357.0,1685195723473.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,1.237.599.768.626,1.251.690.695.598,1237599768626.0,1251690695598.0
Doanh thu với các bên liên quan (Thuyết minh số 33),Trong đó: > Doanh thu với các bên liên quan (Thuyết minh số 33),Doanh thu với các bên liên quan (Thuyết minh số 33),358.944.032.731,433.505.027.875,358944032731.0,433505027875.0
