row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__col_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",1.337.140.439.326,-,1.337.140.439.326,1.249.484.292.864,-,1.249.484.292.864,,1337140439326.0,,1337140439326.0,1249484292864.0,,1249484292864.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,16.024.861.978,(270.418.500),15.754.443.478,16.024.861.978,-,16.024.861.978,,16024861978.0,-270418500.0,15754443478.0,16024861978.0,,16024861978.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.353.165.301.304,(270.418.500),1.352.894.882.804,1.265.509.154.842,-,1.265.509.154.842,,1353165301304.0,-270418500.0,1352894882804.0,1265509154842.0,,1265509154842.0
"14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết","14.1 Đầu tư vào công ty liên doanh, liên kết",,,,,,,
,,,,,,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,,
,,,Tên đơn vị,,,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,,,,,,,
1,"14.1 Đầu tư vào công ty liên doanh, liên kết > 1",1,Công ty Cổ phần 19/5 Đoan Hùng,,,"49,01%","49,01%","49,01%","49,01%",,,,0.4901,0.4901,0.4901,0.4901
2,"14.1 Đầu tư vào công ty liên doanh, liên kết > 2",2,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật Cái Lân,,,"49,00%","49,00%","49,00%","49,00%",,,,0.49,0.49,0.49,0.49
3,"14.1 Đầu tư vào công ty liên doanh, liên kết > 3",3,Công ty Cổ phần Giống Lâm nghiệp Trung U'org,,,"48,10%","48,10%","48,10%","48,10%",,,,0.48100000000000004,0.48100000000000004,0.48100000000000004,0.48100000000000004
4,"14.1 Đầu tư vào công ty liên doanh, liên kết > 4",4,Công ty Cổ phần Cờ Đỏ,,,"45,78%","45,78%","45,78%","45,78%",,,,0.4578,0.4578,0.4578,0.4578
