row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,376.792.254.854,312.424.820.528,376792254854.0,312424820528.0
Thuế TNDN theo thuế suất áp dụng cho Tổng,Thuế TNDN theo thuế suất áp dụng cho Tổng,Thuế TNDN theo thuế suất áp dụng cho Tổng,,,,
Công ty và các công ty con,Thuế TNDN theo thuế suất áp dụng cho Tổng > Công ty và các công ty con,Công ty và các công ty con,71.547.611.678,61.713.831.547,71547611678.0,61713831547.0
- Thuế suất 20%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 20%,- Thuế suất 20%,68.040.908.368,60.402.482.177,68040908368.0,60402482177.0
- Thuế suất 15%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 15%,- Thuế suất 15%,2.363.475.985,1.010.542.840,2363475985.0,1010542840.0
- Thuế suất 10%,Thuế TNDN theo thuế suất áp dụng cho Tổng > - Thuế suất 10%,- Thuế suất 10%,1.143.227.325,300.806.530,1143227325.0,300806530.0
Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),Các khoản điều chỉnh tăng/(giảm),,,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh tăng/(giảm) > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,3.960.064.420,2.376.414.307,3960064420.0,2376414307.0
Ảnh hưởng của các điều chỉnh hợp nhất,Các khoản điều chỉnh tăng/(giảm) > Ảnh hưởng của các điều chỉnh hợp nhất,Ảnh hưởng của các điều chỉnh hợp nhất,(59.648.031.097),(35.184.517.678),-59648031097.0,-35184517678.0
Thu nhập từ hoạt động không thuộc diện,Thu nhập từ hoạt động không thuộc diện,Thu nhập từ hoạt động không thuộc diện,,,,
nộp thuế TNDN,Thu nhập từ hoạt động không thuộc diện > nộp thuế TNDN,nộp thuế TNDN,(1.125.868.737),(719.040.832),-1125868737.0,-719040832.0
(Lãi)/lỗ chênh lệch tỷ giá chưa thực hiện,(Lãi)/lỗ chênh lệch tỷ giá chưa thực hiện,(Lãi)/lỗ chênh lệch tỷ giá chưa thực hiện,,,,
do đánh giá lại tiền và các khoản phải thu,(Lãi)/lỗ chênh lệch tỷ giá chưa thực hiện > do đánh giá lại tiền và các khoản phải thu,do đánh giá lại tiền và các khoản phải thu,(507.510.660),1.914.398.995,-507510660.0,1914398995.0
Thuế TNDN trích thiếu trong các năm,Thuế TNDN trích thiếu trong các năm,Thuế TNDN trích thiếu trong các năm,,,,
trước,Thuế TNDN trích thiếu trong các năm > trước,trước,1.353.809.529,-,1353809529.0,
Lỗ năm trước chuyển sang,Thuế TNDN trích thiếu trong các năm > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(416.348.892),(317.437.323),-416348892.0,-317437323.0
Chi phí lãi vay không được trừ theo Nghị định 132,Thuế TNDN trích thiếu trong các năm > Chi phí lãi vay không được trừ theo Nghị định 132,Chi phí lãi vay không được trừ theo Nghị định 132,655.150.004,3.474.220.898,655150004.0,3474220898.0
Tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế trong năm chưa được ghi nhận,Thuế TNDN trích thiếu trong các năm > Tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế trong năm chưa được ghi nhận,Tài sản thuế thu nhập hoãn lại liên quan đến lỗ tính thuế trong năm chưa được ghi nhận,3.304.972.548,3.342.781.546,3304972548.0,3342781546.0
Chi phí thuế TNDN,Thuế TNDN trích thiếu trong các năm > Chi phí thuế TNDN,Chi phí thuế TNDN,19.123.848.793,36.600.651.460,19123848793.0,36600651460.0
