row_label_raw,row_label_full,col_0,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,981.372.571,981.372.571,981372571.0,981372571.0
Ngoại tệ (USD),Ngoại tệ (USD),Ngoại tệ (USD),"982,63","985,93",982.63,985.93
