row_label_raw,row_label_full,a) Phải thu về cho vay ngắn hạn > Công ty CP Đầu tư phát triển Phương Nam,Cuối năm VND > 12.700.000.000,Đầu năm VND > 4.000.000.000,numeric__Cuối năm VND > 12.700.000.000,numeric__Đầu năm VND > 4.000.000.000
Công ty CP ĐTPTXD DL Thể thao Vũng Tàu,Công ty CP ĐTPTXD DL Thể thao Vũng Tàu,Công ty CP ĐTPTXD DL Thể thao Vũng Tàu,18.000.000.000,-,18000000000.0,
Cộng,Cộng,Cộng,30.700.000.000,4.000.000.000,30700000000.0,4000000000.0
b) Phải thu về cho vay dài hạn,b) Phải thu về cho vay dài hạn,b) Phải thu về cho vay dài hạn,Cuối năm VND,Đầu năm VND,,
Công ty CP Đầu tư Phát triển Xây dựng (DIC) Số 2,b) Phải thu về cho vay dài hạn > Công ty CP Đầu tư Phát triển Xây dựng (DIC) Số 2,Công ty CP Đầu tư Phát triển Xây dựng (DIC) Số 2,-,3.042.447.000,,3042447000.0
Công ty CP Gạch men Anh em DIC,b) Phải thu về cho vay dài hạn > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Công ty CP Cấu kiện Bê tông DIC - Miền Đông,b) Phải thu về cho vay dài hạn > Công ty CP Cấu kiện Bê tông DIC - Miền Đông,Công ty CP Cấu kiện Bê tông DIC - Miền Đông,-,399.494.988,,399494988.0
Công ty CP Đầu tư XD A.T.A (BQL dự án A.T.A),b) Phải thu về cho vay dài hạn > Công ty CP Đầu tư XD A.T.A (BQL dự án A.T.A),Công ty CP Đầu tư XD A.T.A (BQL dự án A.T.A),26.242.803.794,48.698.803.794,26242803794.0,48698803794.0
Công ty CP Đầu tư XD A.T.A,b) Phải thu về cho vay dài hạn > Công ty CP Đầu tư XD A.T.A,Công ty CP Đầu tư XD A.T.A,4.456.000.000,-,4456000000.0,
Cộng,b) Phải thu về cho vay dài hạn > Cộng,Cộng,40.698.803.794,62.140.745.782,40698803794.0,62140745782.0
