row_label_raw,row_label_full,a),Thuế và các khoản khác phải thu Nhà nước,Đầu năm VND,Số phải thu VND,Số đã thực nộp VND,Cuối năm VND,numeric__Thuế và các khoản khác phải thu Nhà nước,numeric__Đầu năm VND,numeric__Số phải thu VND,numeric__Số đã thực nộp VND,numeric__Cuối năm VND
a),a),a),Các khoản thuế nộp thừa cho NN,6.611.445.762,300.519.878,3.606.717.326,9.917.643.210,,6611445762.0,300519878.0,3606717326.0,9917643210.0
a),a),a),Cộng,6.611.445.762,300.519.878,3.606.717.326,9.917.643.210,,6611445762.0,300519878.0,3606717326.0,9917643210.0
b),b),b),Thuế và các khoản phải nộp Nhà nước,Đầu năm VND,Số phải nộp VND,Số đã thực nộp VND,Cuối năm VND,,,,,
b),b) > b),b),Thuế giá trị gia tăng,2.306.955.818,24.917.784.847,21.029.769.475,6.194.971.190,,2306955818.0,24917784847.0,21029769475.0,6194971190.0
b),b) > b),b),Thuế tiêu thụ đặc biệt,25.508.414,119.450.091,141.601.862,3.356.643,,25508414.0,119450091.0,141601862.0,3356643.0
b),b) > b),b),Thuế thu nhập doanh nghiệp,3.122.239.274,31.559.841.018,6.728.991.201,27.953.089.091,,3122239274.0,31559841018.0,6728991201.0,27953089091.0
b),b) > b),b),Thuế thu nhập cá nhân,270.980.804,2.067.577.294,2.150.145.308,188.412.790,,270980804.0,2067577294.0,2150145308.0,188412790.0
b),b) > b),b),Thuế tài nguyên,1.411.160.042,3.197.931.085,3.882.473.448,726.617.679,,1411160042.0,3197931085.0,3882473448.0,726617679.0
b),b) > b),b),Thuế nhà đất và tiền thuê đất,819.800.500,2.771.058.988,3.059.905.988,530.953.500,,819800500.0,2771058988.0,3059905988.0,530953500.0
b),b) > b),b),Thuế môn bài,-,20.000.000,20.000.000,-,,,20000000.0,20000000.0,
b),b) > b),b),Các loại thuế khác,1.661.725.481,10.593.848.178,11.652.831.002,602.742.657,,1661725481.0,10593848178.0,11652831002.0,602742657.0
,,,Cộng,9.618.370.333,75.247.491.501,48.665.718.284,36.200.143.550,,9618370333.0,75247491501.0,48665718284.0,36200143550.0
