row_label_raw,row_label_full,Khoản mục > Số dư đầu năm trước,Vốn đầu tư của chủ sở hữu > 1.787.436.200.000,Thặng dư vốn cổ phần > 386.568.251.707,Quỹ đầu tư phát triển > 157.201.646.004,Lợi nhuận sau thuế chưa phân phối > 61.984.532.848,Lợi ích cổ đông không kiểm soát > 45.226.873.372,Tổng cộng VND > 2.438.417.503.931,numeric__Vốn đầu tư của chủ sở hữu > 1.787.436.200.000,numeric__Thặng dư vốn cổ phần > 386.568.251.707,numeric__Quỹ đầu tư phát triển > 157.201.646.004,numeric__Lợi nhuận sau thuế chưa phân phối > 61.984.532.848,numeric__Lợi ích cổ đông không kiểm soát > 45.226.873.372,numeric__Tổng cộng VND > 2.438.417.503.931
Thường cổ phiếu,Thường cổ phiếu,Thường cổ phiếu,158.901.730.000,(158.901.730.000),-,-,-,-,158901730000.0,-158901730000.0,,,,
Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,199.000.000.000,10.070.000.000,-,-,-,209.070.000.000,199000000000.0,10070000000.0,,,,209070000000.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,10.460.820.959,-,10.460.820.959,,,,10460820959.0,,10460820959.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,4.759.856.409,(11.762.380.183),-,(7.002.523.774),,,4759856409.0,-11762380183.0,,-7002523774.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,5.390.646.148,-,5.390.646.148,,,,5390646148.0,,5390646148.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.145.337.930.000,237.736.521.707,161.961.502.413,66.073.619.772,45.226.873.372,2.656.336.447.264,2145337930000.0,237736521707.0,161961502413.0,66073619772.0,45226873372.0,2656336447264.0
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,2.145.337.930.000,237.736.521.707,161.961.502.413,66.073.619.772,45.226.873.372,2.656.336.447.264,2145337930000.0,237736521707.0,161961502413.0,66073619772.0,45226873372.0,2656336447264.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,171.610.260.000,(171.610.260.000),-,-,-,-,171610260000.0,-171610260000.0,,,,
Phát hành riêng lẻ,Phát hành riêng lẻ,Phát hành riêng lẻ,65.000.000.000,-,,,,,65000000000.0,,,,,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,58.445.977.758,7.191.197.236,65.637.174.994,,,,58445977758.0,7191197236.0,65637174994.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,476.211.891,(5.576.211.891),-,(5.100.000.000),,,476211891.0,-5576211891.0,,-5100000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,,,,,,
Biến động khác,Chia cổ tức > Biến động khác,Biến động khác,-,(15.000.000),1.234.343.191,598.431.153,14.369.557.119,16.187.331.462,,-15000000.0,1234343191.0,598431153.0,14369557119.0,16187331462.0
Số dư Cuối năm,Chia cổ tức > Số dư Cuối năm,Số dư Cuối năm,2.381.948.190.000,66.111.261.707,163.672.057.495,119.541.816.792,66.787.627.727,2.798.060.953.720,2381948190000.0,66111261707.0,163672057495.0,119541816792.0,66787627727.0,2798060953720.0
