row_label_raw,row_label_full,Tiền và các khoản tương đương tiền,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Tiền mặt,Tiền mặt,Tiền mặt,16.376.157.225,10.569.820.385,16376157225.0,10569820385.0
Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,Tiền gửi ngân hàng không kỳ hạn,163.003.945.838,32.952.296.382,163003945838.0,32952296382.0
Tiền đang chuyển,Tiền đang chuyển,Tiền đang chuyển,32.084.752,36.049.000,32084752.0,36049000.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,50.000.000,20.991.041.398,50000000.0,20991041398.0
Cộng,Cộng,Cộng,179.462.187.815,64.549.207.165,179462187815.0,64549207165.0
