row_label_raw,row_label_full,a) Chi phí trả trước ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,861.177.882,1.935.456.508,861177882.0,1935456508.0
Chi phí bán hàng chờ phân bổ,Chi phí bán hàng chờ phân bổ,Chi phí bán hàng chờ phân bổ,40.598.993.463,5.705.903.266,40598993463.0,5705903266.0
Chi phí thuê văn phòng ngắn hạn,Chi phí thuê văn phòng ngắn hạn,Chi phí thuê văn phòng ngắn hạn,204.587.628,-,204587628.0,
Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,26.234.452,204.587.628,26234452.0,204587628.0
Chi phí chờ phân bổ dài hạn khác,Chi phí chờ phân bổ dài hạn khác,Chi phí chờ phân bổ dài hạn khác,732.554.738,900.377.732,732554738.0,900377732.0
Cộng,Cộng,Cộng,42.423.548.163,8.746.325.134,42423548163.0,8746325134.0
