row_label_raw,row_label_full,b),Chi phí trả trước dài hạn,Cuối năm VND,Đầu năm VND,numeric__Chi phí trả trước dài hạn,numeric__Cuối năm VND,numeric__Đầu năm VND
,,,Chi phí sửa chữa thường xuyên,6.503.638.119,2.097.277.231,,6503638119.0,2097277231.0
,,,Lợi thế thương mại,890.317.565,2.400.925.515,,890317565.0,2400925515.0
,,,Chi phí chờ phân bổ dài hạn khác,6.078.199.353,8.155.212.336,,6078199353.0,8155212336.0
,,,Cộng,30.940.737.957,25.443.392.593,,30940737957.0,25443392593.0
10.,10.,10.,Thuế và các khoản khác phải thu Nhà nước,Cuối năm VND,Đầu năm VND,,,
,,,Thuế giá trị gia tăng được khấu trừ,5.235.625.903,18.191.539.139,,5235625903.0,18191539139.0
,,,Thuế và các khoản khác phải thu Nhà nước,9.917.643.210,6.611.445.762,,9917643210.0,6611445762.0
,,,Thuế thu nhập doanh nghiệp nộp thừa,-,-,,,
,,,Các khoản thuế nộp thừa cho Nhà nước,9.917.643.210,6.611.445.762,,9917643210.0,6611445762.0
,,,Cộng,15.153.269.113,24.802.984.901,,15153269113.0,24802984901.0
