row_label_raw,row_label_full,8.,Chi phí quản lý doanh nghiệp,Năm nay VND,Năm trước VND,numeric__Chi phí quản lý doanh nghiệp,numeric__Năm nay VND,numeric__Năm trước VND
,,,Chi phí khấu hao,2.963.153.789,-,,2963153789.0,
,,,Chi phí mua ngoài,1.600.552.493,-,,1600552493.0,
,,,Chi phí khác,34.652.110.353,34.713.438.676,,34652110353.0,34713438676.0
,,,Cộng,82.419.435.982,86.351.753.703,,82419435982.0,86351753703.0
9.,9.,9.,Lợi nhuận khác,Năm nay VND,Năm trước VND,,,
,,,Thu nhập khác,6.767.645.282,12.111.842.205,,6767645282.0,12111842205.0
,,,"Tiền chiết khấu, khuyến mãi",2.925.099.212,2.038.762.645,,2925099212.0,2038762645.0
,,,Thu tiền phạt do vi phạm hợp đồng kinh tế,1.734.099.480,4.340.718.349,,1734099480.0,4340718349.0
,,,"Thu thanh lý tài sản cố định, công cụ dụng cụ",393.939.044,-,,393939044.0,
,,,Phạt tiền lãi do chậm thanh toán,616.337.002,-,,616337002.0,
,,,Thu nhập khác,1.098.170.544,5.732.361.211,,1098170544.0,5732361211.0
,,,Chi phí khác,5.710.185.630,24.779.753.174,,5710185630.0,24779753174.0
,,,Giá trị còn lại của tài sản cố định thanh lý,-,277.832.170,,,277832170.0
,,,"Phạt chậm nộp, vi phạm hành chính",3.790.332.903,16.596.491.168,,3790332903.0,16596491168.0
,,,Phạt do vi phạm hợp đồng kinh tế,45.000.000,2.002.462.692,,45000000.0,2002462692.0
,,,Chi phí khác,1.874.852.727,5.902.967.144,,1874852727.0,5902967144.0
,,,Lợi nhuận khác,1.057.459.652,(12.667.910.969),,1057459652.0,-12667910969.0
10.,10.,10.,Chi phí thuế thu nhập doanh nghiệp hiện hành,Năm nay VND,Năm trước VND,,,
,,,Tổng lợi nhuận kế toán trước thuế,91.817.011.881,32.133.590.489,,91817011881.0,32133590489.0
,,,"Các khoản điều chỉnh tăng, (giảm)",69.047.664.805,14.792.806.150,,69047664805.0,14792806150.0
,,,Lãi (lỗ) từ Công ty con,16.398.419.556,5.973.776.277,,16398419556.0,5973776277.0
,,,"Hoàn nhập dự phòng từ Công ty con, Công ty liên kết",(3.061.074.396),(7.305.482.343),,-3061074396.0,-7305482343.0
,,,"Lãi (lỗ) trong Công ty Liên doanh, liên kết",42.970.446.005,6.793.849.528,,42970446005.0,6793849528.0
,,,Lãi chưa thực hiện từ việc bán tài sản,(458.259.342),(229.129.671),,-458259342.0,-229129671.0
,,,Chênh lệch tỷ giá hối đoái lỗ Vina Đại Phước,23.419.265.222,-,,23419265222.0,
,,,Chi phí không được trừ khi tính thuế TNDN,3.208.458.667,38.427.720.962,,3208458667.0,38427720962.0
,,,Các khoản bị phạt,102.056.353,-,,102056353.0,
,,,"Thù lao HĐQT, BKS không trực tiếp điều hành",246.000.000,-,,246000000.0,
,,,Dự phòng phải thu khó đòi,49.902.917,-,,49902917.0,
,,,Chuyển lỗ các năm trước,(5.326.920.720),(21.282.824.247),,-5326920720.0,-21282824247.0
,,,Chênh lệch tỷ giá hối đoái,(2.364.092.372),(4.185.104.356),,-2364092372.0,-4185104356.0
,,,Cổ tức,(6.136.537.085),(3.400.000.000),,-6136537085.0,-3400000000.0
,,,Tổng lợi nhuận tính thuế,160.864.676.686,46.926.396.639,,160864676686.0,46926396639.0
,,,Chi phí thuế thu nhập doanh nghiệp hiện hành,31.547.425.874,10.382.318.919,,31547425874.0,10382318919.0
