row_label_raw,row_label_full,19. Chi phí phải trả ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Lãi trái phiếu phải trả,Lãi trái phiếu phải trả,Lãi trái phiếu phải trả,66.718.750.000,53.294.520.548,66718750000.0,53294520548.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,17.450.750.333,10.649.493.831,17450750333.0,10649493831.0
Chi phí đầu tư khu phức hợp 34ha - Taekwang,Chi phí đầu tư khu phức hợp 34ha - Taekwang,Chi phí đầu tư khu phức hợp 34ha - Taekwang,1.052.245.085,14.193.154.872,1052245085.0,14193154872.0
"Trường đào tạo nghề Phú Quốc, tỉnh Kiên giang","Trường đào tạo nghề Phú Quốc, tỉnh Kiên giang","Trường đào tạo nghề Phú Quốc, tỉnh Kiên giang",6.407.155.605,-,6407155605.0,
Cáp thép dự ứng lực Phoenix,Cáp thép dự ứng lực Phoenix,Cáp thép dự ứng lực Phoenix,326.357.714,-,326357714.0,
Thi công phần điện trung tập hội nghị quốc tế,Thi công phần điện trung tập hội nghị quốc tế,Thi công phần điện trung tập hội nghị quốc tế,181.550.488,-,181550488.0,
Hệ thống hạ tầng kỹ thuật Công ty A.T.A,Hệ thống hạ tầng kỹ thuật Công ty A.T.A,Hệ thống hạ tầng kỹ thuật Công ty A.T.A,1.680.763.636,-,1680763636.0,
Các khoản trích trước khác,Các khoản trích trước khác,Các khoản trích trước khác,1.916.269.128,-,1916269128.0,
Cộng,Cộng,Cộng,95.733.841.989,78.137.169.251,95733841989.0,78137169251.0
