row_label_raw,row_label_full,8. Hàng tồn kho,Cuối năm VND > Giá trị gốc,Cuối năm VND > Dự phòng,Đầu năm VND > Giá trị gốc,Đầu năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị gốc,numeric__Cuối năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị gốc,numeric__Đầu năm VND > Dự phòng
Hàng mua đang đi đường,Hàng mua đang đi đường,Hàng mua đang đi đường,-,-,676.283.520,-,,,676283520.0,
"Nguyên liệu, vật liệu","Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",16.810.381.977,-,12.174.349.505,-,16810381977.0,,12174349505.0,
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",932.126.041,-,1.578.011.587,-,932126041.0,,1578011587.0,
Chi phí sản xuất kinh doanh dở dang(*),Chi phí sản xuất kinh doanh dở dang(*),Chi phí sản xuất kinh doanh dở dang(*),2.797.138.619.849,-,2.366.433.402.748,-,2797138619849.0,,2366433402748.0,
Thành phẩm,Thành phẩm,Thành phẩm,19.566.318.090,(598.896.130),18.628.102.240,(450.246.130),19566318090.0,-598896130.0,18628102240.0,-450246130.0
Thành phẩm bất động sản,Thành phẩm bất động sản,Thành phẩm bất động sản,16.177.240.961,-,11.611.691.272,-,16177240961.0,,11611691272.0,
Hàng hóa,Hàng hóa,Hàng hóa,8.044.239.389,-,308.044.905,-,8044239389.0,,308044905.0,
Hàng hoá bất động sản,Hàng hoá bất động sản,Hàng hoá bất động sản,-,-,25.733.936.735,-,,,25733936735.0,
Hàng gửi đi bán,Hàng gửi đi bán,Hàng gửi đi bán,314.022.259,-,-,-,314022259.0,,,
Cộng,Cộng,Cộng,2.858.982.948.566,(598.896.130),2.437.143.822.512,(450.246.130),2858982948566.0,-598896130.0,2437143822512.0,-450246130.0
