row_label_raw,row_label_full,c),Trái phiếu phát hành,Cuối năm VND,Đầu năm VND,numeric__Trái phiếu phát hành,numeric__Cuối năm VND,numeric__Đầu năm VND
,,,Loại phát hành theo mênh giá (i),990.772.006.910,989.167.138.546,,990772006910.0,989167138546.0
,,,Mệnh giá (DIC.BOND.2014.1000),1.000.000.000.000,1.000.000.000.000,,1000000000000.0,1000000000000.0
,,,Chiết khấu trái phiếu,(9.227.993.090),(10.832.861.454),,-9227993090.0,-10832861454.0
,,,Cộng,990.772.006.910,989.167.138.546,,990772006910.0,989167138546.0
