row_label_raw,row_label_full,a) Phải trả ngắn hạn khác,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,2.459.351.231,8.197.837.439,2459351231.0,8197837439.0
Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,Công ty CP Dịch vụ Đầu tư Kim Ngân Phát,5.588.450.000,7.088.450.000,5588450000.0,7088450000.0
Các khoản phải trả khác,Các khoản phải trả khác,Các khoản phải trả khác,25.192.315.078,19.649.706.243,25192315078.0,19649706243.0
Cộng,Cộng,Cộng,162.833.304.178,175.445.322.340,162833304178.0,175445322340.0
b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,b) Phải trả dài hạn khác,Số cuối năm VND,Đầu năm VND,,
Nhận ký quỹ ký cược,b) Phải trả dài hạn khác > Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,1.411.929.462,2.157.848.801,1411929462.0,2157848801.0
Công ty CP ĐTPTXD Bê tông,b) Phải trả dài hạn khác > Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,116.274.962,469.393.801,116274962.0,469393801.0
Nhận ký quỹ ký cược dài hạn khác,b) Phải trả dài hạn khác > Nhận ký quỹ ký cược dài hạn khác,Nhận ký quỹ ký cược dài hạn khác,1.295.654.500,1.688.455.000,1295654500.0,1688455000.0
Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,Các khoản phải trả dài hạn khác,-,-,,
Cộng,Các khoản phải trả dài hạn khác > Cộng,Cộng,1.411.929.462,2.157.848.801,1411929462.0,2157848801.0
