row_label_raw,row_label_full,13. Chi phí sản xuất kinh doanh theo yếu tố,Năm nay VND,Năm trước VND,numeric__Năm nay VND,numeric__Năm trước VND
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",288.135.812.771,180.688.071.181,288135812771.0,180688071181.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,181.042.366.981,115.445.474.868,181042366981.0,115445474868.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,22.497.102.856,23.092.994.332,22497102856.0,23092994332.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,797.517.537.028,267.977.945.789,797517537028.0,267977945789.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,101.790.355.812,166.464.828.348,101790355812.0,166464828348.0
Cộng,Cộng,Cộng,1.393.526.616.538,753.669.314.518,1393526616538.0,753669314518.0
