row_label_raw,row_label_full,12. Tài sản cố định vô hình,Quyền sử dụng đất,Phần mềm máy vi tính,Tài sản cố định khác,Tổng cộng VND,numeric__Quyền sử dụng đất,numeric__Phần mềm máy vi tính,numeric__Tài sản cố định khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.034.359.499,141.321.000,231.730.816,11.407.411.315,11034359499.0,141321000.0,231730816.0,11407411315.0
Tăng trong năm (DIC 2),Nguyên giá > Tăng trong năm (DIC 2),Tăng trong năm (DIC 2),1.227.782.782,-,-,1.227.782.782,1227782782.0,,,1227782782.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,12.262.142.281,141.321.000,231.730.816,12.635.194.097,12262142281.0,141321000.0,231730816.0,12635194097.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,523.873.558,141.321.000,79.174.695,744.369.253,523873558.0,141321000.0,79174695.0,744369253.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,44.557.964,-,11.586.540,56.144.504,44557964.0,,11586540.0,56144504.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,568.431.522,141.321.000,90.761.235,800.513.757,568431522.0,141321000.0,90761235.0,800513757.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,10.510.485.941,-,152.556.121,10.663.042.062,10510485941.0,,152556121.0,10663042062.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,11.693.710.759,-,140.969.581,11.834.680.340,11693710759.0,,140969581.0,11834680340.0
