row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Cuối năm VND > SL,Cuối năm VND > %,Cuối năm VND > Giá gốc,Cuối năm VND > Dự phòng,Cuối năm VND > Giá trị hợp lý,Đầu năm VND > SL,Đầu năm VND > %,Đầu năm VND > Giá gốc,Đầu năm VND > Dự phòng,Đầu năm VND > Giá trị hợp lý,numeric__Cuối năm VND > SL,numeric__Cuối năm VND > %,numeric__Cuối năm VND > Giá gốc,numeric__Cuối năm VND > Dự phòng,numeric__Cuối năm VND > Giá trị hợp lý,numeric__Đầu năm VND > SL,numeric__Đầu năm VND > %,numeric__Đầu năm VND > Giá gốc,numeric__Đầu năm VND > Dự phòng,numeric__Đầu năm VND > Giá trị hợp lý
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,,751.039.867.909,-,751.039.867.909,,,809.073.011.517,-,809.073.011.517,,,751039867909.0,,751039867909.0,,,809073011517.0,,809073011517.0
Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,Công ty CP Vina Đại Phước,45.080.000,"28,00",440.097.428.136,-,440.097.428.136,45.080.000,"28,00",444.426.358.257,-,444.426.358.257,45080000.0,28.0,440097428136.0,,440097428136.0,45080000.0,28.0,444426358257.0,,444426358257.0
Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,Công ty CP ĐTPT Phương Nam,18.920.000,"43,00",152.039.450.663,-,152.039.450.663,18.920.000,"43,00",189.750.537.261,-,189.750.537.261,18920000.0,43.0,152039450663.0,,152039450663.0,18920000.0,43.0,189750537261.0,,189750537261.0
Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,Công ty CP Đầu tư Việt Thiên Lâm,8.622.034,"22,00",83.465.845.094,-,83.465.845.094,8.622.034,"22,00",83.647.541.017,-,83.647.541.017,8622034.0,22.0,83465845094.0,,83465845094.0,8622034.0,22.0,83647541017.0,,83647541017.0
Công ty CP Gạch men Anh Em,Công ty CP Gạch men Anh Em,Công ty CP Gạch men Anh Em,7.350.000,"40,83",7.848.245.739,-,7.848.245.739,7.350.000,"40,83",14.951.982.461,-,14.951.982.461,7350000.0,40.83,7848245739.0,,7848245739.0,7350000.0,40.83,14951982461.0,,14951982461.0
Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,Công ty CP ĐTPTXD Bê tông,1.259.994,"36,00",28.288.816.911,-,28.288.816.911,1.259.994,"36,00",26.623.959.163,-,26.623.959.163,1259994.0,36.0,28288816911.0,,28288816911.0,1259994.0,36.0,26623959163.0,,26623959163.0
Công ty CP ĐTPTXD DL Thể thao VT,Công ty CP ĐTPTXD DL Thể thao VT,Công ty CP ĐTPTXD DL Thể thao VT,1.793.856,"24,86",17.292.430.335,-,17.292.430.335,1.793.856,"23,92",16.187.356.846,-,16.187.356.846,1793856.0,24.86,17292430335.0,,17292430335.0,1793856.0,23.92,16187356846.0,,16187356846.0
Công ty CP ĐTPTXD số 2,Công ty CP ĐTPTXD số 2,Công ty CP ĐTPTXD số 2,1.050.000,"41,67",-,-,-,1.050.000,"41,67",11.527.263.446,-,11.527.263.446,1050000.0,41.67,,,,1050000.0,41.67,11527263446.0,,11527263446.0
Công ty CP ĐTPTXD Hội An,Công ty CP ĐTPTXD Hội An,Công ty CP ĐTPTXD Hội An,899.100,"29,97",15.935.135.961,-,15.935.135.961,899.100,"29,97",15.900.988.370,-,15.900.988.370,899100.0,29.97,15935135961.0,,15935135961.0,899100.0,29.97,15900988370.0,,15900988370.0
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,481.500,"42,67",6.072.515.070,-,6.072.515.070,481.500,"42,67",6.057.024.696,-,6.057.024.696,481500.0,42.67,6072515070.0,,6072515070.0,481500.0,42.67,6057024696.0,,6057024696.0
