row_label_raw,row_label_full,16. Phải trả người bán ngắn hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công ty TNHH Xuân Vy,Công ty TNHH Xuân Vy,Công ty TNHH Xuân Vy,2.025.885.297,7.389.116.128,2025885297.0,7389116128.0
Công ty TNHH Kỹ nghệ Toàn Tâm,Công ty TNHH Kỹ nghệ Toàn Tâm,Công ty TNHH Kỹ nghệ Toàn Tâm,6.814.375.000,8.814.375.000,6814375000.0,8814375000.0
Công ty TNHH B và H,Công ty TNHH B và H,Công ty TNHH B và H,3.716.611.349,1.573.723.459,3716611349.0,1573723459.0
Công ty TNHH Thang máy và Thiết bị Thăng Long,Công ty TNHH Thang máy và Thiết bị Thăng Long,Công ty TNHH Thang máy và Thiết bị Thăng Long,19.371.000.000,-,19371000000.0,
Công ty TNHH Xây dựng Phương Linh,Công ty TNHH Xây dựng Phương Linh,Công ty TNHH Xây dựng Phương Linh,7.543.765.000,-,7543765000.0,
Công ty CP Trang trí nội thất Mộc Đại,Công ty CP Trang trí nội thất Mộc Đại,Công ty CP Trang trí nội thất Mộc Đại,2.076.473.392,-,2076473392.0,
Công ty CP Sông Đà DIC,Công ty CP Sông Đà DIC,Công ty CP Sông Đà DIC,-,772.311.998,,772311998.0
DNTN Ngọc Hà,DNTN Ngọc Hà,DNTN Ngọc Hà,2.181.932.770,-,2181932770.0,
Công ty TNHH Xây dựng Đất Lợi,Công ty TNHH Xây dựng Đất Lợi,Công ty TNHH Xây dựng Đất Lợi,1.990.186.650,-,1990186650.0,
Công ty TNHH Kim Hưng Phát,Công ty TNHH Kim Hưng Phát,Công ty TNHH Kim Hưng Phát,6.847.981.626,-,6847981626.0,
Công ty TNHH TMDV An Đại Phát,Công ty TNHH TMDV An Đại Phát,Công ty TNHH TMDV An Đại Phát,2.889.056.571,-,2889056571.0,
Công ty TNHH MTV NT3 (Tín Nghĩa),Công ty TNHH MTV NT3 (Tín Nghĩa),Công ty TNHH MTV NT3 (Tín Nghĩa),4.855.914.051,4.855.914.051,4855914051.0,4855914051.0
Công ty CP TM XD Lê Nguyễn,Công ty CP TM XD Lê Nguyễn,Công ty CP TM XD Lê Nguyễn,2.170.570.000,2.170.570.000,2170570000.0,2170570000.0
Công ty TNHH DV VT Nam Thành,Công ty TNHH DV VT Nam Thành,Công ty TNHH DV VT Nam Thành,2.075.452.461,2.075.452.461,2075452461.0,2075452461.0
Công ty CP kinh doanh VLXD số 15,Công ty CP kinh doanh VLXD số 15,Công ty CP kinh doanh VLXD số 15,3.112.651.476,2.213.667.998,3112651476.0,2213667998.0
Công ty TNHH PJ Vina,Công ty TNHH PJ Vina,Công ty TNHH PJ Vina,3.961.266.919,,3961266919.0,
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,67.310.086.353,71.570.668.338,67310086353.0,71570668338.0
"Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm","Phải trả người bán ngắn hạn là các bên liên quan, gồm",,
Công ty CP ĐTPTXD Bê tông,"Phải trả người bán ngắn hạn là các bên liên quan, gồm > Công ty CP ĐTPTXD Bê tông",Công ty CP ĐTPTXD Bê tông,324.626.850,6.826.623.000,324626850.0,6826623000.0
Cty CP ĐTPTXD (DIC) số 2,"Phải trả người bán ngắn hạn là các bên liên quan, gồm > Cty CP ĐTPTXD (DIC) số 2",Cty CP ĐTPTXD (DIC) số 2,-,2.942.446.161,,2942446161.0
Công ty Cp Bất động sản DIC,"Phải trả người bán ngắn hạn là các bên liên quan, gồm > Công ty Cp Bất động sản DIC",Công ty Cp Bất động sản DIC,2.313.913.226,2.291.527.425,2313913226.0,2291527425.0
