row_label_raw,row_label_full,11. Tài sản cố định hữu hình,Nhà cửa,Máy móc thiết bị,Phương tiện vận tải,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng VND,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,231.994.233.588,129.448.065.521,39.741.056.977,9.174.659.835,12.192.728.309,422.550.744.230,231994233588.0,129448065521.0,39741056977.0,9174659835.0,12192728309.0,422550744230.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,382.423.787,10.268.937.215,2.187.259.999,275.389.825,1.132.626.258,14.246.637.084,382423787.0,10268937215.0,2187259999.0,275389825.0,1132626258.0,14246637084.0
Đầu tư XD hoàn thành,Nguyên giá > Đầu tư XD hoàn thành,Đầu tư XD hoàn thành,15.023.734.827,520.851.030,-,286.831.000,-,15.831.416.857,15023734827.0,520851030.0,,286831000.0,,15831416857.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.264.052.320),(1.482.791.711),(777.311.873),(831.172.260),(4.355.328.164),,-1264052320.0,-1482791711.0,-777311873.0,-831172260.0,-4355328164.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,1.176.960.279,32.349.086.757,1.070.847.712,-,232.012.434,34.828.907.182,1176960279.0,32349086757.0,1070847712.0,,232012434.0,34828907182.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,248.577.352.481,171.322.888.203,41.516.372.977,8.959.568.787,12.726.194.741,483.102.377.189,248577352481.0,171322888203.0,41516372977.0,8959568787.0,12726194741.0,483102377189.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,67.489.117.375,84.468.792.859,23.094.168.652,7.975.099.735,4.611.448.542,187.638.627.163,67489117375.0,84468792859.0,23094168652.0,7975099735.0,4611448542.0,187638627163.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,7.555.259.341,7.756.558.394,3.286.495.886,343.270.932,610.257.143,19.551.841.696,7555259341.0,7756558394.0,3286495886.0,343270932.0,610257143.0,19551841696.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(1.051.411.656),(1.428.960.301),(757.412.451),(831.172.260),(4.068.956.668),,-1051411656.0,-1428960301.0,-757412451.0,-831172260.0,-4068956668.0
Biến động khác,Hao mòn lũy kế > Biến động khác,Biến động khác,569.665.232,31.112.928.533,1.070.847.712,-,232.012.434,32.985.453.911,569665232.0,31112928533.0,1070847712.0,,232012434.0,32985453911.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,75.614.041.948,122.286.868.130,26.022.551.949,7.560.958.216,4.622.545.859,236.106.966.102,75614041948.0,122286868130.0,26022551949.0,7560958216.0,4622545859.0,236106966102.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,164.505.116.213,44.979.272.662,16.646.888.325,1.199.560.100,7.581.279.767,234.912.117.067,164505116213.0,44979272662.0,16646888325.0,1199560100.0,7581279767.0,234912117067.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,172.963.310.533,49.036.020.073,15.493.821.028,1.398.610.571,8.103.648.882,246.995.411.087,172963310533.0,49036020073.0,15493821028.0,1398610571.0,8103648882.0,246995411087.0
