row_label_raw,row_label_full,"23. Quỹ khen thưởng, phúc lợi",Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Quỹ khen thưởng,Quỹ khen thưởng,Quỹ khen thưởng,(1.096.926.221),7.261.958,-1096926221.0,7261958.0
Quỹ phúc lợi,Quỹ phúc lợi,Quỹ phúc lợi,(1.925.643.797),-,-1925643797.0,
Cộng,Cộng,Cộng,(3.022.570.018),7.261.958,-3022570018.0,7261958.0
24. Thuế thu nhập hoãn lại phải trả,24. Thuế thu nhập hoãn lại phải trả,24. Thuế thu nhập hoãn lại phải trả,Cuối năm VND,Đầu năm VND,,
Hoàn nhập dự phòng Công ty con và Công ty liên kết,24. Thuế thu nhập hoãn lại phải trả > Hoàn nhập dự phòng Công ty con và Công ty liên kết,Hoàn nhập dự phòng Công ty con và Công ty liên kết,20.817.735.268,26.276.976.124,20817735268.0,26276976124.0
Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,24. Thuế thu nhập hoãn lại phải trả > Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,15.870.325.215,15.870.325.215,15870325215.0,15870325215.0
Cộng,24. Thuế thu nhập hoãn lại phải trả > Cộng,Cộng,36.688.060.483,42.147.301.339,36688060483.0,42147301339.0
25. Dự phòng phải trả dài hạn,25. Dự phòng phải trả dài hạn,25. Dự phòng phải trả dài hạn,Cuối năm VND,Đầu năm VND,,
Dự phòng báo hành sản phẩm hàng hóa,25. Dự phòng phải trả dài hạn > Dự phòng báo hành sản phẩm hàng hóa,Dự phòng báo hành sản phẩm hàng hóa,645.223.711,566.586.976,645223711.0,566586976.0
Công ty CP DIC Vật liệu XD,25. Dự phòng phải trả dài hạn > Công ty CP DIC Vật liệu XD,Công ty CP DIC Vật liệu XD,645.223.711,566.586.976,645223711.0,566586976.0
Cộng,25. Dự phòng phải trả dài hạn > Cộng,Cộng,645.223.711,566.586.976,645223711.0,566586976.0
