row_label_raw,row_label_full,b) Chi phí trả trước dài hạn,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Công cụ dụng cụ,Công cụ dụng cụ,Công cụ dụng cụ,11.459.178.013,6.523.516.072,11459178013.0,6523516072.0
Chi phí thuê văn phòng dài hạn,Chi phí thuê văn phòng dài hạn,Chi phí thuê văn phòng dài hạn,4.916.302.723,5.120.890.351,4916302723.0,5120890351.0
Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,Chi phí hoàn thiện văn phòng,1.093.102.184,1.145.571.088,1093102184.0,1145571088.0
