row_label_raw,row_label_full,"(*) Chi phí sản xuất, kinh doanh dở dang, gồm:",Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
"Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu","Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu","Dự án CSHT khu Trung tâm Chí Linh, Vũng Tàu",107.999.630.844,98.157.540.046,107999630844.0,98157540046.0
Dự án khu đô thị du lịch sinh thái Đại Phước (i),Dự án khu đô thị du lịch sinh thái Đại Phước (i),Dự án khu đô thị du lịch sinh thái Đại Phước (i),805.899.965.460,756.436.440.270,805899965460.0,756436440270.0
"Dự án khu đô thị trục đường 51B, Vũng Tàu","Dự án khu đô thị trục đường 51B, Vũng Tàu","Dự án khu đô thị trục đường 51B, Vũng Tàu",1.774.950.578,1.764.791.930,1774950578.0,1764791930.0
Dự án chung cư B13 - Vũng Tàu Gateway,Dự án chung cư B13 - Vũng Tàu Gateway,Dự án chung cư B13 - Vũng Tàu Gateway,72.517.344.131,11.486.082.313,72517344131.0,11486082313.0
"Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)","Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)","Dự án tổ hợp KS, văn phòng - Phoenix (GD 1)",239.326.839.978,158.820.590.358,239326839978.0,158820590358.0
Dự án căn hộ cao cấp DIC - Phoenix (GD 2),Dự án căn hộ cao cấp DIC - Phoenix (GD 2),Dự án căn hộ cao cấp DIC - Phoenix (GD 2),458.370.401.190,247.515.359.949,458370401190.0,247515359949.0
Dự án khu đô thị mới Nam Vĩnh Yên,Dự án khu đô thị mới Nam Vĩnh Yên,Dự án khu đô thị mới Nam Vĩnh Yên,719.129.651.261,669.240.593.955,719129651261.0,669240593955.0
Dự án khu dân cư P4 Hậu Giang,Dự án khu dân cư P4 Hậu Giang,Dự án khu dân cư P4 Hậu Giang,104.559.675.956,103.471.929.737,104559675956.0,103471929737.0
"Dự án khu biệt thự An Sơn , TP. Đà Lạt","Dự án khu biệt thự An Sơn , TP. Đà Lạt","Dự án khu biệt thự An Sơn , TP. Đà Lạt",79.139.375.808,112.148.473.799,79139375808.0,112148473799.0
"Dự án khu du lịch Long Tân, Nhơn Trạch","Dự án khu du lịch Long Tân, Nhơn Trạch","Dự án khu du lịch Long Tân, Nhơn Trạch",7.170.536.412,5.417.610.738,7170536412.0,5417610738.0
"Dự án khu dân cư Hiệp Phước, Nhơn Trạch (i)","Dự án khu dân cư Hiệp Phước, Nhơn Trạch (i)","Dự án khu dân cư Hiệp Phước, Nhơn Trạch (i)",73.972.489.101,62.474.437.985,73972489101.0,62474437985.0
"Dự án Thủy Tiên Resort, Tp. Vũng Tàu","Dự án Thủy Tiên Resort, Tp. Vũng Tàu","Dự án Thủy Tiên Resort, Tp. Vũng Tàu",,59.969.039.164,,59969039164.0
Tổng thầu thi công Bệnh viện Bà Rịa,Tổng thầu thi công Bệnh viện Bà Rịa,Tổng thầu thi công Bệnh viện Bà Rịa,3.279.349.747,8.705.807.921,3279349747.0,8705807921.0
"Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang","Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang","Dự án khu đô thị An Thới, Phú Quốc, Kiên Giang",20.368.115.022,18.893.719.567,20368115022.0,18893719567.0
Khách sạn DIC Star Vĩnh Yên,Khách sạn DIC Star Vĩnh Yên,Khách sạn DIC Star Vĩnh Yên,2.426.475.305,1.092.869.873,2426475305.0,1092869873.0
Dự án Block B Pullman,Dự án Block B Pullman,Dự án Block B Pullman,14.424.115.029,1.451.669.099,14424115029.0,1451669099.0
Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,86.779.704.027,49.386.446.044,86779704027.0,49386446044.0
Công,Công,Công,2.797.138.619.849,2.366.433.402.748,2797138619849.0,2366433402748.0
