row_label_raw,row_label_full,Cho năm tài chính 2016,Thương mại,Dịch vụ,Xây dựng,Bất động sản,Tổng cộng VND,numeric__Thương mại,numeric__Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Tổng cộng VND
Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,Doanh thu thuần bộ phận,462.417.552.045,60.632.103.723,183.181.434.858,445.697.497.698,1.151.928.588.324,462417552045.0,60632103723.0,183181434858.0,445697497698.0,1151928588324.0
Chi phí bộ phận,Chi phí bộ phận,Chi phí bộ phận,(411.299.774.740),(13.808.485.581),(145.449.621.367),(262.784.641.319),(833.342.523.007),-411299774740.0,-13808485581.0,-145449621367.0,-262784641319.0,-833342523007.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,51.117.777.305,46.823.618.142,37.731.813.491,182.912.856.379,318.586.065.317,51117777305.0,46823618142.0,37731813491.0,182912856379.0,318586065317.0
Doanh thu tài chính,Doanh thu tài chính,Doanh thu tài chính,,,,,23.704.306.892,,,,,23704306892.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,(51.666.905.016),,,,,-51666905016.0
"Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết",,,,,(42.970.446.005),,,,,-42970446005.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,,(74.474.032.977),,,,,-74474032977.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,(82.419.435.982),,,,,-82419435982.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,,,,,6.777.334.933,,,,,6777334933.0
Chí phí khác,Chí phí khác,Chí phí khác,,,,,(5.719.875.281),,,,,-5719875281.0
Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(31.547.425.874),,,,,-31547425874.0
