row_label_raw,row_label_full,Nội dung nghiệp vụ/Bên liên quan,Mối quan hệ,Giá trị giao dịch VND,Số dư cuối năm phải thu/(phải trả) VND,numeric__Mối quan hệ,numeric__Giá trị giao dịch VND,numeric__Số dư cuối năm phải thu/(phải trả) VND
Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,3.807.100,3.807.100,,3807100.0,3807100.0
Công ty CP ĐTPTXD Du lịch Thế thao VT,Công ty CP ĐTPTXD Du lịch Thế thao VT,Công ty CP ĐTPTXD Du lịch Thế thao VT,Công ty liên kết,4.451.425,4.451.425,,4451425.0,4451425.0
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,62.000.000.000,62.000.000.000,,62000000000.0,62000000000.0
Phải thu về chuyển nhượng cổ phiếu,Phải thu về chuyển nhượng cổ phiếu,Phải thu về chuyển nhượng cổ phiếu,Phải thu về chuyển nhượng cổ phiếu,Phải thu về chuyển nhượng cổ phiếu,Phải thu về chuyển nhượng cổ phiếu,,,
Ông Phan Văn Bình,Phải thu về chuyển nhượng cổ phiếu > Ông Phan Văn Bình,Ông Phan Văn Bình,Bên liên quan,-,20.369.021.195,,,20369021195.0
Ông Nguyễn Vũ Tuấn,Phải thu về chuyển nhượng cổ phiếu > Ông Nguyễn Vũ Tuấn,Ông Nguyễn Vũ Tuấn,Bên liên quan,-,20.369.016.499,,,20369016499.0
Ông Lê Văn Hường,Phải thu về chuyển nhượng cổ phiếu > Ông Lê Văn Hường,Ông Lê Văn Hường,Bên liên quan,-,8.318.000.000,,,8318000000.0
Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,Phải thu khác,,,
Công ty CP Xây dựng Hội An,Công ty CP Xây dựng Hội An,Công ty CP Xây dựng Hội An,Công ty liên kết,-,-,,,
Công ty CP Bất động sản DIC,Công ty CP Xây dựng Hội An > Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty liên kết,240.750.000,240.750.000,,240750000.0,240750000.0
Công ty Cổ Phần Vina Đại Phước,Công ty CP Xây dựng Hội An > Công ty Cổ Phần Vina Đại Phước,Công ty Cổ Phần Vina Đại Phước,Công ty liên kết,99.761.450,-,,99761450.0,
Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Xây dựng Hội An > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,15.574.013.888,142.999.999,,15574013888.0,142999999.0
Công ty CP Gạch men Anh em DIC,Công ty CP Xây dựng Hội An > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,1.270.833.332,6.834.539.446,,1270833332.0,6834539446.0
Cty CP ĐTPTXD Du Lịch Thế Thao VT,Công ty CP Xây dựng Hội An > Cty CP ĐTPTXD Du Lịch Thế Thao VT,Cty CP ĐTPTXD Du Lịch Thế Thao VT,Công ty liên kết,,408.299.286,,,408299286.0
Công ty CP DIC Số 4,Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,-,-,,,
CN Công ty CP Đầu tư Xây dựng A.T.A,Công ty CP DIC Số 4 > CN Công ty CP Đầu tư Xây dựng A.T.A,CN Công ty CP Đầu tư Xây dựng A.T.A,Bên liên quan,7.243.927.547,23.764.779.509,,7243927547.0,23764779509.0
Công ty CP Đầu tư Xây dựng A.T.A,Công ty CP DIC Số 4 > Công ty CP Đầu tư Xây dựng A.T.A,Công ty CP Đầu tư Xây dựng A.T.A,Bên liên quan,893.151.145,3.158.261.696,,893151145.0,3158261696.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,,,
Công ty CP Gạch men Anh em DIC,Phải thu về cho vay > Công ty CP Gạch men Anh em DIC,Công ty CP Gạch men Anh em DIC,Công ty liên kết,-,10.000.000.000,,,10000000000.0
Công ty CP Đầu tư phát triển Phương Nam,Phải thu về cho vay > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,18.800.000.000,12.700.000.000,,18800000000.0,12700000000.0
Công ty CP ĐTPTXD DLTT Vũng Tàu,Phải thu về cho vay > Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty CP ĐTPTXD DLTT Vũng Tàu,Công ty liên kết,48.000.000.000,18.000.000.000,,48000000000.0,18000000000.0
CN Công ty CP Đầu tư Xây dựng A.T.A,Phải thu về cho vay > CN Công ty CP Đầu tư Xây dựng A.T.A,CN Công ty CP Đầu tư Xây dựng A.T.A,Bên liên quan,-,26.242.803.794,,,26242803794.0
Công ty CP Đầu tư Xây dựng A.T.A,Phải thu về cho vay > Công ty CP Đầu tư Xây dựng A.T.A,Công ty CP Đầu tư Xây dựng A.T.A,Bên liên quan,-,4.456.000.000,,,4456000000.0
Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,Phải thu về góp vốn liên doanh,,,
Công ty CP Đầu Tư và thương Mại DIC,Phải thu về góp vốn liên doanh > Công ty CP Đầu Tư và thương Mại DIC,Công ty CP Đầu Tư và thương Mại DIC,Bên liên quan,-,3.000.000.000,,,3000000000.0
CN Công ty CP Đầu tư Xây dựng A.T.A,Phải thu về góp vốn liên doanh > CN Công ty CP Đầu tư Xây dựng A.T.A,CN Công ty CP Đầu tư Xây dựng A.T.A,Bên liên quan,-,84.318.359.768,,,84318359768.0
Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,Phải trả về cung cấp dịch vụ,,,
Công ty CP Bất Đông Sản DIC (môi giới),Phải trả về cung cấp dịch vụ > Công ty CP Bất Đông Sản DIC (môi giới),Công ty CP Bất Đông Sản DIC (môi giới),Công ty liên kết,1.616.639.945,(2.313.913.226),,1616639945.0,-2313913226.0
Công ty CP ĐTPTXD Du lịch Thế thao VT,Phải trả về cung cấp dịch vụ > Công ty CP ĐTPTXD Du lịch Thế thao VT,Công ty CP ĐTPTXD Du lịch Thế thao VT,Công ty liên kết,138.511.300,-,,138511300.0,
Công ty CP DIC Số 4,Phải trả về cung cấp dịch vụ > Công ty CP DIC Số 4,Công ty CP DIC Số 4,Bên liên quan,124.181.461.451,(9.150.325.100),,124181461451.0,-9150325100.0
Công ty CP ĐTPTXD Thanh Bình,Phải trả về cung cấp dịch vụ > Công ty CP ĐTPTXD Thanh Bình,Công ty CP ĐTPTXD Thanh Bình,Bên liên quan,29.701.543.036,(8.821.471.067),,29701543036.0,-8821471067.0
Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,Trả trước ngắn hạn cho người bán,,,
Công ty CP Bất Đông Sản DIC (xây lắp),Trả trước ngắn hạn cho người bán > Công ty CP Bất Đông Sản DIC (xây lắp),Công ty CP Bất Đông Sản DIC (xây lắp),Công ty liên kết,7.387.433.038,3.470.381.534,,7387433038.0,3470381534.0
Công ty CP Đầu tư phát triển Phương Nam,Trả trước ngắn hạn cho người bán > Công ty CP Đầu tư phát triển Phương Nam,Công ty CP Đầu tư phát triển Phương Nam,Công ty liên kết,1.122.573.900,143.249.987.066,,1122573900.0,143249987066.0
