row_label_raw,row_label_full,Vay dài hạn,Cuối năm VND > Giá trị,Cuối năm VND > Số có khả năng trả nợ,Cuối năm VND > Tăng,Trong năm VND > Giảm,Trong năm VND > Giá trị,Đầu năm VND > Số có khả năng trả nợ,numeric__Cuối năm VND > Giá trị,numeric__Cuối năm VND > Số có khả năng trả nợ,numeric__Cuối năm VND > Tăng,numeric__Trong năm VND > Giảm,numeric__Trong năm VND > Giá trị,numeric__Đầu năm VND > Số có khả năng trả nợ
"Ngân hàng TMCP Đầu tư & Phát triển, CN Vũng Tàu (i)","Ngân hàng TMCP Đầu tư & Phát triển, CN Vũng Tàu (i)","Ngân hàng TMCP Đầu tư & Phát triển, CN Vũng Tàu (i)",8.002.197.070,8.002.197.070,38.088.409.173,34.907.327.419,4.821.115.316,4.821.115.316,8002197070.0,8002197070.0,38088409173.0,34907327419.0,4821115316.0,4821115316.0
"Ngân hàng TMCP Ngoại thương, CN Quảng Nam (ii)","Ngân hàng TMCP Ngoại thương, CN Quảng Nam (ii)","Ngân hàng TMCP Ngoại thương, CN Quảng Nam (ii)",2.859.000.000,2.859.000.000,420.000.000,901.000.000,3.340.000.000,3.340.000.000,2859000000.0,2859000000.0,420000000.0,901000000.0,3340000000.0,3340000000.0
"Ngân hàng Nông nghiệp & PTNT VN, CN Đồng Nai","Ngân hàng Nông nghiệp & PTNT VN, CN Đồng Nai","Ngân hàng Nông nghiệp & PTNT VN, CN Đồng Nai",-,-,81.500.000.000,81.500.000.000,-,-,,,81500000000.0,81500000000.0,,
"Ngân hàng TMCP Á Châu, CN Hồ Chí Minh (iii)","Ngân hàng TMCP Á Châu, CN Hồ Chí Minh (iii)","Ngân hàng TMCP Á Châu, CN Hồ Chí Minh (iii)",143.249.987.066,143.249.987.066,143.249.987.066,-,-,-,143249987066.0,143249987066.0,143249987066.0,,,
"Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu (iv)","Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu (iv)","Ngân hàng TMCP Bưu điện Liên Việt, CN Vũng Tàu (iv)",36.422.537.307,36.422.537.307,39.497.266.473,3.074.729.166,-,-,36422537307.0,36422537307.0,39497266473.0,3074729166.0,,
"Ngân hàng TMCP Phát triển TP.HCM, CN Vũng Tàu (v)","Ngân hàng TMCP Phát triển TP.HCM, CN Vũng Tàu (v)","Ngân hàng TMCP Phát triển TP.HCM, CN Vũng Tàu (v)",247.808.984.018,247.808.984.018,229.240.891.965,61.941.791.397,80.509.883.450,80.509.883.450,247808984018.0,247808984018.0,229240891965.0,61941791397.0,80509883450.0,80509883450.0
Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,Ngân hàng TMCP Sài Gòn Thương Tín,-,-,-,153.085.818,153.085.818,153.085.818,,,,153085818.0,153085818.0,153085818.0
"Ngân hàng TMCP Hàng Hải, CN Vũng Tàu","Ngân hàng TMCP Hàng Hải, CN Vũng Tàu","Ngân hàng TMCP Hàng Hải, CN Vũng Tàu",-,-,39.200.000.000,39.200.000.000,-,-,,,39200000000.0,39200000000.0,,
"Ngân hàng TMCP Phương Đông, CN Vũng Tàu","Ngân hàng TMCP Phương Đông, CN Vũng Tàu","Ngân hàng TMCP Phương Đông, CN Vũng Tàu",-,-,4.412.993.000,4.412.993.000,-,-,,,4412993000.0,4412993000.0,,
Cá nhân khác (vi),Cá nhân khác (vi),Cá nhân khác (vi),148.000.000,148.000.000,-,1.188.000.000,1.336.000.000,1.336.000.000,148000000.0,148000000.0,,1188000000.0,1336000000.0,1336000000.0
Cộng,Cộng,Cộng,438.490.705.461,438.490.705.461,575.609.547.677,227.278.926.800,90.160.084.584,90.160.084.584,438490705461.0,438490705461.0,575609547677.0,227278926800.0,90160084584.0,90160084584.0
