row_label_raw,row_label_full,a) Phải trả ngắn hạn khác,Cuối năm VND,Đầu năm VND,numeric__Cuối năm VND,numeric__Đầu năm VND
Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,Tài sản thừa chờ giải quyết,32.898.830,19.650.717,32898830.0,19650717.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,681.220.061,778.914.616,681220061.0,778914616.0
"Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp",1.334.129.575,1.159.150.776,1334129575.0,1159150776.0
Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,Phải trả về cổ phần hoá,34.082.760.007,34.322.722.979,34082760007.0,34322722979.0
Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,Nhận ký quỹ ký cược ngắn hạn,1.347.265.609,1.708.460.000,1347265609.0,1708460000.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,1.170.929.355,1.024.853.485,1170929355.0,1024853485.0
"Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",124.184.100.741,136.431.569.767,124184100741.0,136431569767.0
"Hội đồng đến bù, giải phóng mặt bằng các dự án","Hội đồng đến bù, giải phóng mặt bằng các dự án","Hội đồng đến bù, giải phóng mặt bằng các dự án",56.499.293.289,68.503.861.216,56499293289.0,68503861216.0
Lệ phí trước bạ và phí bảo trì chung cư phải trả,Lệ phí trước bạ và phí bảo trì chung cư phải trả,Lệ phí trước bạ và phí bảo trì chung cư phải trả,27.332.993.660,25.880.017.386,27332993660.0,25880017386.0
Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,Công ty CP Bất động sản DIC,7.111.697.483,7.111.697.483,7111697483.0,7111697483.0
