row_label_raw,row_label_full,Cho năm tài chính 2016,Thương mại,Dịch vụ,Xây dựng,Bất động sản,Tổng cộng VND,numeric__Thương mại,numeric__Dịch vụ,numeric__Xây dựng,numeric__Bất động sản,numeric__Tổng cộng VND
Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,Chi phí thuế TNDN hoãn lại phải trả Lợi nhuận sau thuế,5.367.588.98765.637.174.994,,,,,5.3675889876563716e+20
Cho năm tài chính 2015,Cho năm tài chính 2015,Cho năm tài chính 2015,Thương mại,"Dịch vụ, khác",Xây dựng,Bất động sản,Tổng cộng VND,,,,,
Doanh thu thuần bộ phận Chi phí bộ phận,Doanh thu thuần bộ phận Chi phí bộ phận,Doanh thu thuần bộ phận Chi phí bộ phận,352.620.015.864(322.275.061.947),100.739.469.736(27.860.645.735),56.232.671.679(42.808.251.236),145.633.089.475(98.303.765.718),655.225.246.754(491.247.724.636),,,,,
Kết quả kinh doanh bộ phận,Doanh thu thuần bộ phận Chi phí bộ phận > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,30.344.953.917,72.878.824.001,13.424.420.443,47.329.323.757,163.977.522.118,30344953917.0,72878824001.0,13424420443.0,47329323757.0,163977522118.0
Doanh thu tài chính,Doanh thu thuần bộ phận Chi phí bộ phận > Doanh thu tài chính,Doanh thu tài chính,,,,,62.680.671.166,,,,,62680671166.0
Chi phí tài chính,Doanh thu thuần bộ phận Chi phí bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,(6.154.448.991),,,,,-6154448991.0
"Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Doanh thu thuần bộ phận Chi phí bộ phận > Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong Công ty liên doanh, liên kết",,,,,(6.793.849.528),,,,,-6793849528.0
Chi phí bán hàng,Doanh thu thuần bộ phận Chi phí bộ phận > Chi phí bán hàng,Chi phí bán hàng,,,,,(82.556.639.604),,,,,-82556639604.0
Chi phí quản lý doanh nghiệp,Doanh thu thuần bộ phận Chi phí bộ phận > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,(86.351.753.703),,,,,-86351753703.0
Thu nhập khác,Doanh thu thuần bộ phận Chi phí bộ phận > Thu nhập khác,Thu nhập khác,,,,,12.111.842.205,,,,,12111842205.0
Chi phí khác,Doanh thu thuần bộ phận Chi phí bộ phận > Chi phí khác,Chi phí khác,,,,,(24.779.753.174),,,,,-24779753174.0
Thuế thu nhập doanh nghiệp hiện hành,Doanh thu thuần bộ phận Chi phí bộ phận > Thuế thu nhập doanh nghiệp hiện hành,Thuế thu nhập doanh nghiệp hiện hành,,,,,(10.382.318.919),,,,,-10382318919.0
Chi phí thuế TNDN hoãn lại phải trả,Doanh thu thuần bộ phận Chi phí bộ phận > Chi phí thuế TNDN hoãn lại phải trả,Chi phí thuế TNDN hoãn lại phải trả,,,,,(7.941.252.168),,,,,-7941252168.0
Lợi nhuận sau thuế,Doanh thu thuần bộ phận Chi phí bộ phận > Lợi nhuận sau thuế,Lợi nhuận sau thuế,,,,,13.810.019.402,,,,,13810019402.0
