row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số năm trước(Trước điều chỉnh),Điều chỉnh,Số năm trước(Sau điều chỉnh),numeric__Mã số,numeric__Số năm trước(Trước điều chỉnh),numeric__Điều chỉnh,numeric__Số năm trước(Sau điều chỉnh)
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
TÀI SẢN NGẮN HẠN,TÀI SẢN > TÀI SẢN NGẮN HẠN,TÀI SẢN NGẮN HẠN,100,5.427.339.475.024,1.002.322.472,5.428.341.797.496,100.0,5427339475024.0,1002322472.0,5428341797496.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,314.040.745.314,91.610.771,314.132.356.085,140.0,314040745314.0,91610771.0,314132356085.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,314.060.113.150,91.610.771,314.151.723.921,141.0,314060113150.0,91610771.0,314151723921.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,149.975.816.367,910.711.701,150.886.528.068,150.0,149975816367.0,910711701.0,150886528068.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,7.321.842.480,910.711.701,8.232.554.181,151.0,7321842480.0,910711701.0,8232554181.0
TÀI SẢN DÀI HẠN,TÀI SẢN > TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,11.070.834.328.518,3.345.494.549,11.074.179.823.067,200.0,11070834328518.0,3345494549.0,11074179823067.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,220,9.484.636.840.978,1.179.751.955,9.485.816.592.933,220.0,9484636840978.0,1179751955.0,9485816592933.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,9.427.576.690.879,1.179.751.955,9.428.756.442.834,221.0,9427576690879.0,1179751955.0,9428756442834.0
Nguyên giá,TÀI SẢN > Nguyên giá,Nguyên giá,222,33.960.872.032.646,1.316.855.549,33.962.188.888.195,222.0,33960872032646.0,1316855549.0,33962188888195.0
Giá trị hao mòn lũy kế,TÀI SẢN > Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,223,(24.533.295.341.767),(137.103.594),(24.533.432.445.361),223.0,-24533295341767.0,-137103594.0,-24533432445361.0
Tài sản dài hạn khác,TÀI SẢN > Tài sản dài hạn khác,Tài sản dài hạn khác,260,235.310.663.867,2.165.742.594,237.476.406.461,260.0,235310663867.0,2165742594.0,237476406461.0
Chi phí trả trước dài hạn,TÀI SẢN > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,106.523.699.380,2.165.742.594,108.689.441.974,261.0,106523699380.0,2165742594.0,108689441974.0
TỔNG CỘNG TÀI SẢN,TÀI SẢN > TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,16.498.173.803.542,4.347.817.021,16.502.521.620.563,270.0,16498173803542.0,4347817021.0,16502521620563.0
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,Mã số,Số năm trước(Trước điều chỉnh),Điều chỉnh,Số năm trước(Sau điều chỉnh),,,,
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
NỘ PHẢI TRẢ,NGUỒN VỐN > NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,300,8.346.544.627.107,1.040.876.017,8.347.585.503.124,300.0,8346544627107.0,1040876017.0,8347585503124.0
Nợ ngắn hạn,NGUỒN VỐN > Nợ ngắn hạn,Nợ ngắn hạn,310,6.312.694.144.638,1.040.876.017,6.313.735.020.655,310.0,6312694144638.0,1040876017.0,6313735020655.0
Phải trả người bán ngắn hạn,NGUỒN VỐN > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,2.826.811.967.901,(114.763.000),2.826.697.204.901,311.0,2826811967901.0,-114763000.0,2826697204901.0
Thuế và các khoản phải nộp Nhà nước,NGUỒN VỐN > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,64.721.576.216,1.155.639.017,65.877.215.233,313.0,64721576216.0,1155639017.0,65877215233.0
NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,400,8.151.629.176.435,3.306.941.004,8.154.936.117.439,400.0,8151629176435.0,3306941004.0,8154936117439.0
