row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,9.715.606.364,8.232.554.181,9715606364.0,8232554181.0
Giá trị công cụ dụng cụ chờ phân bổ,Giá trị công cụ dụng cụ chờ phân bổ,Giá trị công cụ dụng cụ chờ phân bổ,3.084.687.664,622.874.761,3084687664.0,622874761.0
Bảo hiểm,Bảo hiểm,Bảo hiểm,585.958.287,1.855.515.881,585958287.0,1855515881.0
Tiền thuê văn phòng,Tiền thuê văn phòng,Tiền thuê văn phòng,2.293.532.640,-,2293532640.0,
Chi phí kiểm định,Chi phí kiểm định,Chi phí kiểm định,1.452.882.769,1.457.978.613,1452882769.0,1457978613.0
Chi phí khác,Chi phí khác,Chi phí khác,2.298.545.004,4.296.184.926,2298545004.0,4296184926.0
Dài hạn,Dài hạn,Dài hạn,131.347.251.684,108.689.441.974,131347251684.0,108689441974.0
Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,36.404.477.701,36.167.784.196,36404477701.0,36167784196.0
Chi phí sửa chữa vật kiến trúc,Chi phí sửa chữa vật kiến trúc,Chi phí sửa chữa vật kiến trúc,42.446.749.637,27.982.417.982,42446749637.0,27982417982.0
"Chi phí đền bù, giải phóng mặt bằng","Chi phí đền bù, giải phóng mặt bằng","Chi phí đền bù, giải phóng mặt bằng",26.543.147.516,27.292.394.798,26543147516.0,27292394798.0
Giá trị công cụ dụng cụ chờ phân bổ,Giá trị công cụ dụng cụ chờ phân bổ,Giá trị công cụ dụng cụ chờ phân bổ,10.483.463.306,6.716.742.706,10483463306.0,6716742706.0
Cải tạo văn phòng,Cải tạo văn phòng,Cải tạo văn phòng,4.018.880.272,-,4018880272.0,
Chi phí khác,Chi phí khác,Chi phí khác,11.450.533.252,10.530.102.292,11450533252.0,10530102292.0
Cộng,Cộng,Cộng,141.062.858.048,116.921.996.155,141062858048.0,116921996155.0
