row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số năm trước(Trước điều chỉnh),Điều chỉnh,Số năm trước(Sau điều chỉnh),numeric__Mã số,numeric__Số năm trước(Trước điều chỉnh),numeric__Điều chỉnh,numeric__Số năm trước(Sau điều chỉnh)
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,615.347.441.363,4.462.580.021,619.810.021.384,1.0,615347441363.0,4462580021.0,619810021384.0
Khấu hao tài sản cố định vàbất động sản đầu tư,Khấu hao tài sản cố định vàbất động sản đầu tư,Khấu hao tài sản cố định vàbất động sản đầu tư,02,1.512.630.057.905,137.103.594,1.512.767.161.499,2.0,1512630057905.0,137103594.0,1512767161499.0
Lợi nhuận từ hoạt độngkinh doanh trước thay đốivốn lưu động,Lợi nhuận từ hoạt độngkinh doanh trước thay đốivốn lưu động,Lợi nhuận từ hoạt độngkinh doanh trước thay đốivốn lưu động,08,2.339.265.566.359,4.599.683.615,2.343.865.249.974,8.0,2339265566359.0,4599683615.0,2343865249974.0
"Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,47.587.044.810,(91.610.771),47.495.434.039,10.0,47587044810.0,-91610771.0,47495434039.0
"Tăng, giảm các khoản phảitrả","Tăng, giảm các khoản phảitrả","Tăng, giảm các khoản phảitrả",11,1.394.282.045.437,(114.763.000),1.394.167.282.437,11.0,1394282045437.0,-114763000.0,1394167282437.0
"Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,21.997.863.502,(3.076.454.295),18.921.409.207,12.0,21997863502.0,-3076454295.0,18921409207.0
Lưu chuyển tiền thuần từhoạt động kinh doanh,Lưu chuyển tiền thuần từhoạt động kinh doanh,Lưu chuyển tiền thuần từhoạt động kinh doanh,20,1.914.365.621.518,1.316.855.549,1.915.682.477.067,20.0,1914365621518.0,1316855549.0,1915682477067.0
Lưu chuyển tiền từ hoạtđộng đầu tư,Lưu chuyển tiền từ hoạtđộng đầu tư,Lưu chuyển tiền từ hoạtđộng đầu tư,,,,,,,,
"Tiền chi để mua sắm, xây dựng tài sản cố định và","Lưu chuyển tiền từ hoạtđộng đầu tư > Tiền chi để mua sắm, xây dựng tài sản cố định và","Tiền chi để mua sắm, xây dựng tài sản cố định và",21,(123.811.223.598),(1.316.855.549),(125.128.079.147),21.0,-123811223598.0,-1316855549.0,-125128079147.0
Lưu chuyển tiền thuần từhoạt động đầu tư,Lưu chuyển tiền từ hoạtđộng đầu tư > Lưu chuyển tiền thuần từhoạt động đầu tư,Lưu chuyển tiền thuần từhoạt động đầu tư,30,108.502.346.423,(1.316.855.549),107.185.490.874,30.0,108502346423.0,-1316855549.0,107185490874.0
