row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Chênh lệch đánh giá TS,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Chênh lệch đánh giá TS,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,6.827.674.750.000,(28.358.542),(1.848.203.592),88.419.275.441,1.100.867.231.163,18.151.006.880,8.033.235.701.350,6827674750000.0,-28358542.0,-1848203592.0,88419275441.0,1100867231163.0,18151006880.0,8033235701350.0
Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,-,544.161.189.385,(843.422.020),543.317.767.365,,,,,544161189385.0,-843422020.0,543317767365.0
Phân phối lợi nhuận,Phân phối lợi nhuận,Phân phối lợi nhuận,-,-,-,232.878.298.996,(652.029.701.677),-,(419.151.402.681),,,,232878298996.0,-652029701677.0,,-419151402681.0
Công ty con phân phối lợi nhuận,Công ty con phân phối lợi nhuận,Công ty con phân phối lợi nhuận,-,-,-,-,(2.189.048.989),(276.899.606),(2.465.948.595),,,,,-2189048989.0,-276899606.0,-2465948595.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,6.827.674.750.000,(28.358.542),(1.848.203.592),321.297.574.437,990.809.669.882,17.030.685.254,8.154.936.117.439,6827674750000.0,-28358542.0,-1848203592.0,321297574437.0,990809669882.0,17030685254.0,8154936117439.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),321.297.574.437,990.809.669.882,17.030.685.254,8.154.936.117.439,6827674750000.0,-28358542.0,-1848203592.0,321297574437.0,990809669882.0,17030685254.0,8154936117439.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,-,-,-,-,-,-,-,,,,,,,
Lãi/lỗ trong năm nay,Tăng vốn trong năm nay > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,-,691.318.321.856,(2.110.436.206),689.207.885.650,,,,,691318321856.0,-2110436206.0,689207885650.0
Phân phối lợi nhuận (*),Tăng vốn trong năm nay > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,-,-,164.384.884.119,(484.424.389.119),-,(320.039.505.000),,,,164384884119.0,-484424389119.0,,-320039505000.0
Số dư cuối năm nay,Tăng vốn trong năm nay > Số dư cuối năm nay,Số dư cuối năm nay,6.827.674.750.000,(28.358.542),(1.848.203.592),485.682.458.556,1.197.703.602.619,14.920.249.048,8.524.104.498.089,6827674750000.0,-28358542.0,-1848203592.0,485682458556.0,1197703602619.0,14920249048.0,8524104498089.0
