row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,Phát sinh trong năm > Tăng,Phát sinh trong năm > Giảm,Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị đồng thời là số có khả năng trả nợ,numeric__Phát sinh trong năm > Tăng,numeric__Phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị đồng thời là số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,3.041.153.650.653,9.663.307.871.163,9.742.577.425.953,2.961.884.095.863,,3041153650653.0,9663307871163.0,9742577425953.0,2961884095863.0
Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,Vay ngân hàng ngắn hạn,[1],1.612.179.768.135,8.435.063.486.763,8.307.254.376.770,1.739.988.878.128,,1612179768135.0,8435063486763.0,8307254376770.0,1739988878128.0
Vay đối tượng khác,Vay đối tượng khác,Vay đối tượng khác,[2],13.070.000.000,22.270.000.000,19.420.000.000,15.920.000.000,,13070000000.0,22270000000.0,19420000000.0,15920000000.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,,1.415.903.882.518,1.205.974.384.400,1.415.903.049.183,1.205.975.217.735,,1415903882518.0,1205974384400.0,1415903049183.0,1205975217735.0
Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,Vay ngân hàng đến hạn trả,[3],876.006.333.252,896.304.236.400,876.005.499.917,896.305.069.735,,876006333252.0,896304236400.0,876005499917.0,896305069735.0
Vay bên liên quan đến hạn trả,Vay bên liên quan đến hạn trả,Vay bên liên quan đến hạn trả,[5],464.897.549.266,223.520.148.000,464.897.549.266,223.520.148.000,,464897549266.0,223520148000.0,464897549266.0,223520148000.0
Vay các đối tượng khác,Vay các đối tượng khác,Vay các đối tượng khác,[4],5.000.000.000,1.150.000.000,5.000.000.000,1.150.000.000,,5000000000.0,1150000000.0,5000000000.0,1150000000.0
Trái phiếu,Trái phiếu,Trái phiếu,[6],70.000.000.000,85.000.000.000,70.000.000.000,85.000.000.000,,70000000000.0,85000000000.0,70000000000.0,85000000000.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,,1.621.352.389.835,323.312.727.126,1.324.735.998.466,619.929.118.495,,1621352389835.0,323312727126.0,1324735998466.0,619929118495.0
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,[3],1.104.050.069.835,297.899.751.126,1.012.065.850.466,389.883.970.495,,1104050069835.0,297899751126.0,1012065850466.0,389883970495.0
Vay bên liên quan,Vay bên liên quan,Vay bên liên quan,[5],427.252.320.000,19.787.976.000,223.520.148.000,223.520.148.000,,427252320000.0,19787976000.0,223520148000.0,223520148000.0
Vay các đối tượng khác,Vay các đối tượng khác,Vay các đối tượng khác,[4],5.050.000.000,5.625.000.000,4.150.000.000,6.525.000.000,,5050000000.0,5625000000.0,4150000000.0,6525000000.0
Trái phiếu,Trái phiếu,Trái phiếu,[6],85.000.000.000,-,85.000.000.000,-,,85000000000.0,,85000000000.0,
Cộng,Cộng,Cộng,,4.662.506.040.488,9.986.620.598.289,11.067.313.424.419,3.581.813.214.358,,4662506040488.0,9986620598289.0,11067313424419.0,3581813214358.0
