row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,2.716.419.300.088,2.716.419.300.088,2.826.697.204.901,2.826.697.204.901,2716419300088.0,2716419300088.0,2826697204901.0,2826697204901.0
Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,Phải trả người bán ngắn hạn là bên thứ ba,953.961.256.412,953.961.256.412,727.486.649.367,727.486.649.367,953961256412.0,953961256412.0,727486649367.0,727486649367.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,352.669.092.670,352.669.092.670,214.295.390.181,214.295.390.181,352669092670.0,352669092670.0,214295390181.0,214295390181.0
Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,Tập đoàn Điện lực Việt Nam,43.152.188.503,43.152.188.503,34.682.800.795,34.682.800.795,43152188503.0,43152188503.0,34682800795.0,34682800795.0
Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,Công ty TNHH Công nghệ và dịch vụ kỹ thuật DTL,948.475.400,948.475.400,14.543.144.470,14.543.144.470,948475400.0,948475400.0,14543144470.0,14543144470.0
Tổng công ty Xây dựng số 1 - CTCP,Tổng công ty Xây dựng số 1 - CTCP,Tổng công ty Xây dựng số 1 - CTCP,40.691.100.749,40.691.100.749,-,-,40691100749.0,40691100749.0,,
Công ty TNHH Thiết bị phụ tùng VIMICO,Công ty TNHH Thiết bị phụ tùng VIMICO,Công ty TNHH Thiết bị phụ tùng VIMICO,17.675.312.773,17.675.312.773,20.506.424.856,20.506.424.856,17675312773.0,17675312773.0,20506424856.0,20506424856.0
Công ty CP Lilama 69-1 Phả Lại,Công ty CP Lilama 69-1 Phả Lại,Công ty CP Lilama 69-1 Phả Lại,44.569.213.766,44.569.213.766,34.940.895.536,34.940.895.536,44569213766.0,44569213766.0,34940895536.0,34940895536.0
Công ty CP Vật tư và Thiết bị công nghiệp,Công ty CP Vật tư và Thiết bị công nghiệp,Công ty CP Vật tư và Thiết bị công nghiệp,20.025.865.025,20.025.865.025,23.118.628.822,23.118.628.822,20025865025.0,20025865025.0,23118628822.0,23118628822.0
Công ty TNHH thương mại vật tư Phúc Khang,Công ty TNHH thương mại vật tư Phúc Khang,Công ty TNHH thương mại vật tư Phúc Khang,30.591.271.308,30.591.271.308,13.261.201.375,13.261.201.375,30591271308.0,30591271308.0,13261201375.0,13261201375.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,403.638.736.218,403.638.736.218,372.138.163.332,372.138.163.332,403638736218.0,403638736218.0,372138163332.0,372138163332.0
Phải trả người bán ngắn hạn là bên liên quan(Chi tiết tại Thuyết minh số VII.2),Phải trả người bán ngắn hạn là bên liên quan(Chi tiết tại Thuyết minh số VII.2),Phải trả người bán ngắn hạn là bên liên quan(Chi tiết tại Thuyết minh số VII.2),1.762.458.043.676,1.762.458.043.676,2.099.210.555.534,2.099.210.555.534,1762458043676.0,1762458043676.0,2099210555534.0,2099210555534.0
Dài hạn,Dài hạn,Dài hạn,412.713.770.045,412.713.770.045,394.445.237.545,394.445.237.545,412713770045.0,412713770045.0,394445237545.0,394445237545.0
Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,Phải trả người bán dài hạn là bên thứ ba,412.713.770.045,412.713.770.045,394.445.237.545,394.445.237.545,412713770045.0,412713770045.0,394445237545.0,394445237545.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,412.713.770.045,412.713.770.045,394.445.237.545,394.445.237.545,412713770045.0,412713770045.0,394445237545.0,394445237545.0
Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,Phải trả người bán dài hạn là bên liên quan,-,-,-,-,,,,
Cộng,Phải trả người bán dài hạn là bên liên quan > Cộng,Cộng,3.129.133.070.133,3.129.133.070.133,3.221.142.442.446,3.221.142.442.446,3129133070133.0,3129133070133.0,3221142442446.0,3221142442446.0
