row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Chương trình phần mềm,TSCĐ VH khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__TSCĐ VH khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,63.385.813.870,9.260.748.811,2.571.594.280,75.218.156.961,63385813870.0,9260748811.0,2571594280.0,75218156961.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,169.000.000,123.920.000,292.920.000,,169000000.0,123920000.0,292920000.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,63.385.813.870,9.429.748.811,2.695.514.280,75.511.076.961,63385813870.0,9429748811.0,2695514280.0,75511076961.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,,
Số đầu năm,Hao mòn luỹ kế > Số đầu năm,Số đầu năm,7.148.160.617,8.452.812.140,2.557.034.105,18.158.006.862,7148160617.0,8452812140.0,2557034105.0,18158006862.0
Khấu hao,Hao mòn luỹ kế > Khấu hao,Khấu hao,1.419.342.014,220.586.557,32.881.679,1.672.810.250,1419342014.0,220586557.0,32881679.0,1672810250.0
Hao mòn,Hao mòn luỹ kế > Hao mòn,Hao mòn,36.360.828,-,-,36.360.828,36360828.0,,,36360828.0
Số cuối năm,Hao mòn luỹ kế > Số cuối năm,Số cuối năm,8.603.863.459,8.673.398.697,2.589.915.784,19.867.177.940,8603863459.0,8673398697.0,2589915784.0,19867177940.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,56.237.653.253,807.936.671,14.560.175,57.060.150.099,56237653253.0,807936671.0,14560175.0,57060150099.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,54.781.950.411,756.350.114,105.598.496,55.643.899.021,54781950411.0,756350114.0,105598496.0,55643899021.0
