row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc,Máy móc thiết bị,Phương tiện vận tải và thiết bị truyền dẫn,Thiết bị quản lý,TSCĐ khác,Tổng cộng,numeric__Nhà cửa vật kiến trúc,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải và thiết bị truyền dẫn,numeric__Thiết bị quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.912.497.453.420,24.457.413.721.646,525.889.322.494,41.001.765.187,25.386.625.448,33.962.188.888.195,8912497453420.0,24457413721646.0,525889322494.0,41001765187.0,25386625448.0,33962188888195.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,1.055.454.545,1.784.076.533,148.400.640,2.987.931.718,,,1055454545.0,1784076533.0,148400640.0,2987931718.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,1.544.271.828,133.145.888.613,9.423.403.388,15.819.900.518,-,159.933.464.347,1544271828.0,133145888613.0,9423403388.0,15819900518.0,,159933464347.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.863.269.222),-,-,(3.863.269.222),,,-3863269222.0,,,-3863269222.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.914.041.725.248,24.590.559.610.259,532.504.911.205,58.605.742.238,25.535.026.088,34.121.247.015.038,8914041725248.0,24590559610259.0,532504911205.0,58605742238.0,25535026088.0,34121247015038.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.304.639.713.387,19.697.863.246.203,474.315.813.032,32.571.029.436,24.042.643.303,24.533.432.445.361,4304639713387.0,19697863246203.0,474315813032.0,32571029436.0,24042643303.0,24533432445361.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,342.248.718.212,961.028.902.424,9.825.076.255,3.751.766.756,332.863.752,1.317.187.327.399,342248718212.0,961028902424.0,9825076255.0,3751766756.0,332863752.0,1317187327399.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.952.367.003,-,-,-,23.137.734,2.975.504.737,2952367003.0,,,,23137734.0,2975504737.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,(3.863.269.222),-,-,(3.863.269.222),,,-3863269222.0,,,-3863269222.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.649.840.798.602,20.658.892.148.627,480.277.620.065,36.322.796.192,24.398.644.789,25.849.732.008.275,4649840798602.0,20658892148627.0,480277620065.0,36322796192.0,24398644789.0,25849732008275.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.607.857.740.033,4.759.550.475.443,51.573.509.462,8.430.735.751,1.343.982.145,9.428.756.442.834,4607857740033.0,4759550475443.0,51573509462.0,8430735751.0,1343982145.0,9428756442834.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.264.200.926.646,3.931.667.461.632,52.227.291.140,22.282.946.046,1.136.381.299,8.271.515.006.763,4264200926646.0,3931667461632.0,52227291140.0,22282946046.0,1136381299.0,8271515006763.0
